# Name         	     pericenter[kpc]   	     apocenter[kpc]    	       Jr[kpc*km/s]    	       Jz[kpc*km/s]    	      Jphi[kpc*km/s]   	    Energy[km^2/s^2]   
NGC_104_47Tuc  	   5.60	   5.78	   6.00	   7.48	   7.59	   7.67	     12	     16	     20	    200	    214	    230	   1225	   1261	   1303	-166466	-165582	-164665
NGC_288        	   1.44	   1.95	   2.54	  11.99	  12.33	  12.64	    482	    532	    578	    493	    526	    566	   -533	   -430	   -314	-158206	-156147	-154259
NGC_362        	   0.17	   0.27	   0.40	  11.50	  11.90	  12.30	    759	    791	    821	    293	    324	    361	    -68	    -39	     -5	-162255	-160113	-158358
Whiting_1      	  17.12	  19.35	  21.82	  50.61	  54.34	  60.91	   1208	   1285	   1377	   3493	   4226	   4791	   1883	   2261	   2736	 -86380	 -82864	 -77992
NGC_1261       	   0.65	   1.02	   1.42	  19.91	  20.83	  21.55	   1402	   1447	   1490	    355	    378	    396	   -433	   -308	   -173	-135561	-133383	-131582
Pal_1          	  13.41	  14.07	  14.77	  17.80	  18.47	  19.15	     37	     44	     58	    109	    121	    132	   3336	   3459	   3591	-123292	-121488	-119815
AM_1           	  36.57	  85.93	 121.50	 130.68	 148.85	 471.91	   1321	   3343	  10305	   5347	   9780	  15958	 -19514	 -11016	  -3031	 -51621	 -40582	 -18102
Eridanus       	   8.83	  17.65	  30.08	 129.37	 137.51	 150.78	   5174	   6485	   8064	   1693	   3865	   6510	  -5776	  -3018	    222	 -55682	 -52996	 -48843
Pal_2          	   0.46	   0.80	   1.59	  38.53	  40.21	  41.55	   2993	   3166	   3363	     20	     49	    164	   -581	     -3	    520	-105109	-103188	-101547
NGC_1851       	   0.26	   0.42	   0.60	  19.89	  20.44	  21.08	   1505	   1582	   1655	    201	    231	    284	   -165	   -104	    -20	-136161	-134778	-133372
NGC_1904_M_79  	   0.23	   0.38	   0.67	  18.78	  19.32	  19.97	   1456	   1534	   1606	    120	    144	    184	    -15	    101	    229	-138980	-137698	-136004
NGC_2298       	   1.33	   1.72	   2.30	  17.34	  17.92	  18.63	    947	   1008	   1066	    268	    329	    403	   -783	   -596	   -476	-142167	-140132	-137770
NGC_2419       	   8.93	  15.08	  23.96	  87.51	  91.83	  94.24	   2900	   4098	   5062	   1137	   2403	   4459	   1056	   3477	   5283	 -68277	 -66483	 -64076
Pyxis          	  20.92	  23.41	  25.73	 106.21	 123.91	 140.19	   4050	   4856	   5533	   6818	   7562	   8370	  -1849	  -1324	   -765	 -60196	 -55380	 -51479
NGC_2808       	   0.88	   0.97	   1.05	  13.78	  14.19	  14.68	    959	   1011	   1087	     35	     36	     37	    344	    409	    467	-154481	-153111	-151440
E_3            	   8.94	   9.19	   9.39	  12.96	  14.39	  15.66	     57	     89	    123	    285	    325	    351	   2100	   2209	   2303	-140682	-136829	-133908
Pal_3          	  42.17	  70.44	  90.20	 106.03	 121.69	 265.39	    843	   1525	   4608	   6532	  10915	  14953	   -389	   5818	  12946	 -56156	 -47715	 -31378
NGC_3201       	   8.31	   8.43	   8.51	  26.23	  28.63	  31.31	    730	    863	   1004	    292	    313	    332	  -2870	  -2767	  -2669	-116813	-113258	-109793
Pal_4          	  10.43	  30.80	  91.49	 111.35	 116.47	 129.37	   1034	   3671	   6530	   3724	   7787	  13692	  -5744	  -2181	    772	 -59788	 -55831	 -44907
Crater         	  53.27	 135.45	 146.39	 143.30	 182.84	1016.39	    471	   3375	  26961	   6662	  14186	  22308	 -20394	  -2888	  15637	 -46720	 -30256	   -804
NGC_4147       	   0.49	   0.84	   1.30	  25.33	  26.19	  27.23	   1855	   1993	   2094	    495	    564	    666	   -205	   -102	      1	-124172	-122705	-120741
NGC_4372       	   2.93	   3.09	   3.28	   7.25	   7.34	   7.44	    126	    137	    148	     72	     82	     93	    886	    917	    955	-179250	-178171	-176822
Rup_106        	   4.55	   5.00	   5.53	  31.82	  34.36	  35.75	   1597	   1721	   1824	    534	    589	    677	   1489	   1624	   1788	-111844	-108456	-106531
NGC_4590_M_68  	   8.79	   9.06	   9.33	  27.04	  29.08	  30.76	    730	    819	    896	    747	    809	    890	   2336	   2388	   2446	-115142	-112087	-109646
NGC_4833       	   0.54	   0.74	   0.88	   7.88	   8.16	   8.59	    528	    547	    565	     29	     31	     32	    185	    259	    325	-183929	-181896	-178927
NGC_5024_M_53  	   8.26	   8.68	   9.08	  21.12	  21.94	  22.77	    402	    447	    502	   1981	   2090	   2212	    661	    725	    782	-124794	-123035	-121686
NGC_5053       	   9.68	  10.14	  10.53	  17.24	  17.96	  18.90	    133	    172	    219	   2115	   2215	   2351	    582	    655	    715	-129335	-127967	-126252
NGC_5139_oCen  	   1.37	   1.47	   1.56	   7.03	   7.23	   7.35	    248	    277	    309	     85	    103	    123	   -525	   -498	   -452	-185920	-185304	-184426
NGC_5272_M_3   	   4.96	   5.18	   5.32	  15.66	  16.18	  16.66	    397	    439	    479	    889	    913	    941	    877	    913	    951	-140948	-139647	-138773
NGC_5286       	   0.64	   0.88	   1.22	  12.87	  13.48	  14.19	    885	    912	    935	    123	    135	    149	   -490	   -331	   -248	-157177	-154721	-151925
NGC_5466       	   5.57	   6.51	   7.32	  42.02	  48.48	  54.73	   2281	   2506	   2824	   1689	   2025	   2296	   -986	   -861	   -729	 -99484	 -93127	 -87854
NGC_5634       	   2.08	   2.60	   3.76	  20.80	  21.79	  23.21	   1072	   1148	   1227	    810	    896	   1015	    282	    429	    638	-132407	-130195	-126336
NGC_5694       	   1.75	   2.37	   3.01	  54.23	  57.25	  60.49	   3864	   4126	   4377	    334	    459	    729	  -1118	   -843	   -537	 -89674	 -87361	 -85060
IC_4499        	   6.03	   6.77	   7.74	  25.68	  27.95	  29.77	    917	    973	   1039	   1498	   1601	   1714	  -1185	  -1030	   -847	-119626	-115646	-112344
NGC_5824       	  11.91	  14.74	  18.42	  31.49	  35.37	  40.99	    620	    668	    735	   1768	   2064	   2457	   2036	   2604	   3222	-106276	-100464	 -92732
Pal_5          	   9.27	  12.03	  14.79	  17.89	  19.04	  20.28	     60	    118	    214	   1641	   1919	   2155	   1074	   1312	   1608	-129340	-123731	-118034
NGC_5897       	   1.78	   2.37	   3.08	   8.50	   9.12	  10.05	    240	    249	    256	    549	    585	    637	    296	    393	    538	-172250	-168086	-162333
NGC_5904_M_5   	   2.21	   2.42	   2.69	  23.16	  25.89	  29.76	   1285	   1474	   1732	    847	    990	   1167	    324	    361	    392	-127583	-122446	-115947
NGC_5927       	   4.17	   4.31	   4.40	   5.25	   5.46	   5.64	      7	     11	     17	     20	     21	     23	   1036	   1057	   1080	-185721	-184505	-183315
NGC_5946       	   0.23	   0.46	   0.77	   5.74	   6.10	   6.44	    318	    331	    344	    119	    139	    169	     77	    146	    235	-198316	-193768	-189124
