Name nstar log_f_BH_upper_10 log_f_BH_upper_5 log_f_BH_upper_2_5 mass
NGC_6352 2064.3 -1.7724997847163637 -1.4915399171760018 -1.306989447679698 3.70E+04
NGC_4372 2189.9 -2.9122118718304253 -2.629125284385186 -2.46859849466036 3.29E+05
NGC_7078_M_15 2198.4 -2.6047690851525616 -2.2927251111345828 -2.098207602264583 5.60E+05
NGC_6366 2226.3 -2.716718192693717 -2.4345987821011086 -2.20982430925423 4.30E+04
NGC_288 2555.2 -2.192899004449714 -1.8418778992362688 -1.62425194041365 4.80E+04
NGC_6838_M_71 2676.4 -2.4362778828135214 -2.1128487241537695 -1.921178987368939 1.70E+04
NGC_6362 2877.0 -2.2330227652838675 -1.9370158228840915 -1.74957943239441 5.30E+04
NGC_6218_M_12 3356.7 -2.1856186598299203 -1.917676376084826 -1.670832522984223 8.70E+04
NGC_5272_M_3 3924.0 -2.444598300849842 -2.137957926431753 -1.92679533546101 4.50E+05
NGC_6205_M_13 3982.6 -2.322713780724358 -1.9831598734275229 -1.759179795171211 6.00E+05
NGC_6656_M_22 4178.1 -1.9435209586697866 -1.646007361210153 -1.427566731375556 2.90E+05
NGC_6809_M_55 4224.4 -2.510930505936491 -2.2186782814468278 -2.008686063875825 2.69E+05
NGC_5904_M_5 4502.0 -2.1736354986560804 -1.9077739115640977 -1.690827917967099 3.68E+05
NGC_6254_M_10 5285.6 -2.1067670515484407 -1.8448551079934248 -1.636842011176461 1.89E+05
NGC_3201 7021.1 -2.941219125102569 -2.7095583026262693 -2.519304647209183 2.54E+05
NGC_6121_M_4 7526.3 -1.568645661431488 -1.412196803608197 -1.294498286096731 6.70E+04
NGC_6752 10850.7 -2.6832889150850585 -2.4245542565062754 -2.22288443080228 1.40E+05
NGC_6397 11406.1 -3.0799970673319623 -2.7819774166315936 -2.561758688550951 4.50E+04
NGC_5139_oCen 23635.0 -2.7043390664939153 -2.399722767354633 -2.230925333379185 4.05E+06
NGC_104_47Tuc 23917.2 -2.9367224699667016 -2.656541875719839 -2.481993126904635 7.00E+05
