# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.01603764 0.008433478 -3.124849 -4.908011 1.49955 0.9485159 0.3191207 19.91128 1.553505 0 0.0
-0.009331077 -0.01143551 -5.370303 -4.589182 1.602809 1.032311 0.4117518 19.93744 1.28775 0 0.0
0.02062509 -0.0286128 -7.248406 -4.055395 3.597987 2.172325 0.5548455 20.58615 nan 0 0.0
0.03450579 -0.02048021 -1.810997 -4.599022 2.303203 1.363823 0.1207032 20.39692 nan 0 0.0
0.000268259 -0.006635712 0.9158548 -0.1558752 1.522621 0.8654826 0.4465109 19.85422 nan 0 0.0
0.02462975 0.009253812 -0.0468922 -1.60956 2.8785 1.832128 0.2460228 19.7859 1.560787 0 0.0
-0.02911892 -0.008948625 0.1238519 -2.269722 2.988614 1.795572 -0.3045642 20.51591 1.656166 0 0.0
0.001678944 -0.005678252 -1.429696 -9.24288 0.8836843 0.6224179 0.3600743 19.32703 1.544271 0 0.0
-0.03579331 -0.01737981 -6.259393 -5.38721 1.810393 1.42259 0.5429188 20.33486 nan 0 0.0
-0.02222492 0.03813987 -6.616279 -6.370916 2.028305 1.393767 -0.3067413 20.4114 1.125015 0 0.0
-0.01271524 0.006752191 -3.798201 -3.669859 0.8538707 0.5601131 0.2374772 19.27905 1.682713 0 0.0
0.01166339 -0.03802827 -1.799663 -9.126363 0.4175569 0.3003044 0.0801754 18.53196 1.374811 1 0.0
-0.0121372 0.007122367 -11.00924 -6.040451 1.746578 1.078355 0.3870832 20.23224 1.474394 0 0.0
-0.02991339 0.02412813 -3.670023 -1.935134 0.3110756 0.2042377 0.2850114 17.75574 1.369856 1 2.00546e-05
0.01758485 -0.01504653 -1.891805 -4.728897 2.000454 1.330254 0.3406333 20.22888 nan 0 0.0
-0.0009571394 0.03724092 -5.398303 -4.721492 0.2759576 0.2181137 0.07171974 17.61886 1.330486 1 0.0
0.02477179 -0.0003364108 -0.923445 -0.6977739 1.142005 0.7209274 0.5144872 19.52731 nan 0 0.0
-0.03981421 0.01269974 -6.879579 -3.030947 1.377376 0.8123734 0.4016006 19.91551 1.782578 0 0.0
