# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.000876956 0.01468635 0.03727749 -4.913601 0.127981 0.1142812 0.5415476 15.49494 1.583028 1 0.0
-0.01754015 0.0183203 -2.418155 -4.004672 0.3342644 0.2920296 0.5965883 17.17774 1.430031 0 0.0
0.003543514 0.02443666 0.2513383 -7.633237 0.1344983 0.121935 0.4357562 15.52969 1.526344 1 0.0
-0.01092354 0.02250592 3.485472 -4.072114 0.5681048 0.4726343 0.1957931 18.63962 0.9134769 0 0.0
-0.002028894 0.01584028 2.764106 -5.926044 0.1737461 0.1432196 0.4250685 16.53104 1.436837 0 0.0
-0.01812974 0.01956569 0.6536535 -6.474493 0.4431167 0.3637801 0.4629258 17.60255 1.442265 0 0.0
-0.01435284 0.02311395 1.219908 1.204293 0.3517852 0.2822086 0.4319807 17.42028 1.218637 0 0.0
-0.007414633 0.03205632 -3.872693 -8.261999 0.2149901 0.1860465 0.23237 16.59946 1.128835 0 0.0
-0.00285966 0.02707836 -7.042011 -12.5654 0.7851677 0.7855079 0.2478278 18.70027 0.9592304 0 0.0
-0.01971067 0.02127058 -5.610332 -3.393332 0.365884 0.3128363 0.341135 17.91096 1.330223 0 0.0
0.008205193 0.02452795 -1.319769 -1.080274 0.580068 0.4674635 0.6493109 17.65561 1.355503 0 0.0
-0.002993646 0.02803584 3.538881 -8.393028 0.7098165 0.6045427 0.5063562 18.69731 1.129232 0 0.0
-0.001359228 0.02046371 -1.593485 -4.25281 0.4222161 0.3598848 0.3345971 18.27503 1.135727 0 0.0
-0.003529096 0.0163228 3.151521 -3.197361 0.2310902 0.1894595 0.4423413 16.01139 0.6528683 0 0.0
0.001560895 0.01982856 -1.67753 -8.103443 0.8666682 0.786499 0.6602744 18.609 1.517977 0 0.0
-0.01687166 0.02606233 -3.170901 -4.628846 0.6536762 0.5797898 0.3545146 18.70627 1.15839 0 0.0
-0.002805763 0.01538441 -0.1015471 -12.13884 1.089023 0.8996035 0.3828097 18.85127 1.221972 0 0.0
-0.02072925 0.0240265 1.447747 1.284957 0.5639048 0.5235042 0.2993378 17.23431 1.356365 0 0.0
-0.003743677 0.02384347 -1.851001 -3.328941 0.9049519 0.815967 0.3795788 19.05748 0.566328 0 0.0
-0.01309347 0.02155009 -13.18149 -6.683524 1.143633 1.027148 -0.112641 18.98956 nan 0 0.0
-0.005029926 0.02965511 -1.406368 -4.725177 0.9673208 0.8705068 0.3520479 19.01948 nan 0 0.0
-0.003824163 0.02693909 -0.9287862 -3.056997 0.853002 0.7124974 0.5407596 18.56982 1.362726 0 0.0
-0.01223724 0.03064443 -3.276298 -8.262769 0.764986 0.6473836 0.3099207 18.17538 1.333929 0 0.0
-0.01839869 0.02552039 1.07811 -7.406208 0.5972959 0.5158489 0.2413688 18.56985 nan 0 0.0
-0.008913456 0.01327454 3.131889 -0.9826656 0.6074547 0.567587 0.6344112 18.61769 nan 0 0.0
-0.02121079 0.02053977 -4.208039 -3.530568 0.592894 0.5178886 0.4400745 18.59443 1.061331 0 0.0
-0.004145557 0.0241925 -0.251542 -5.623441 1.158283 1.062446 0.3483386 19.1982 1.07596 0 0.0
-0.009770834 0.01488236 -1.47171 -4.140677 0.6067782 0.538723 0.09704809 18.18581 nan 0 0.0
