# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
0.007396085 0.01350509 -3.970811 -6.804112 1.101241 0.9789522 0.07937075 19.69459 nan 0 0.0
0.01040921 -0.03068467 -4.436193 -2.389527 0.2492008 0.2053472 0.06161169 16.34883 4.850523 1 0.0
0.01563263 0.01363753 -5.969829 -8.785679 0.9458833 0.7752307 0.2121846 19.31616 2.968262 0 0.0
-0.005622932 0.0006840245 -2.7822 -2.102524 0.7187218 0.5809323 0.2179469 19.06747 2.567289 0 0.0
0.02191963 -0.008435652 0.8239173 -2.961029 1.330232 1.015797 0.4448928 19.82212 2.85495 0 0.0
0.03253624 0.002009519 -1.612274 -6.699656 0.7497973 0.6020833 0.2912224 19.26142 nan 0 0.0
0.01412475 0.02172876 -4.165058 -6.552299 1.510142 1.226141 0.4854408 19.779 3.022993 0 0.0
-0.0008147774 0.005391537 -3.484798 -5.696653 0.8688452 0.6991119 0.2768183 19.09003 3.037573 0 0.0
-0.001428048 -0.02998216 -3.066467 -3.620339 0.3327542 0.2671513 0.0292444 16.28678 5.725841 0 0.0
-0.02382998 -0.00936312 0.5467463 -1.350417 0.7970376 0.7058497 -0.4257151 18.98332 nan 0 0.0
0.006063005 -0.02944067 -0.3076171 -5.682911 0.6517005 0.5193559 0.04936106 18.41725 3.105949 0 0.0
-0.0164674 0.003082108 4.56625 -3.036102 1.233093 1.026036 0.4114107 19.61053 2.669588 0 0.0
-0.01669861 0.008491305 -3.462045 -7.681462 0.3779912 0.3082728 0.03743855 17.97873 3.931538 0 0.0
-0.006671444 -0.000422311 11.23237 6.040306 1.682097 1.313225 0.3636934 19.82062 nan 0 0.0
0.01578827 0.02571865 -2.920911 -4.772939 1.403189 1.141204 0.2005134 19.78889 nan 0 0.0
0.01949073 -0.006104301 -0.1467964 -0.2417657 0.3217996 0.263439 -0.05914519 16.96834 2.348289 0 0.0
-0.009946482 0.01207433 -8.812652 -7.986554 1.017943 0.8235886 0.3226168 19.66997 2.708832 0 0.0
0.003122955 -0.02581655 -5.083445 -1.525414 0.3170843 0.2469484 0.2209375 17.48207 3.137527 1 0.0
0.01430356 0.02013418 -1.706905 -6.055355 0.6714747 0.5543685 0.003316135 19.05336 3.179245 0 0.0
0.004940732 0.01802949 -5.844584 -3.460337 1.112286 0.8875394 0.4024686 19.31669 3.02075 0 0.0
0.01780165 -0.01213116 -3.23129 -5.729789 0.3063747 0.2464292 -0.03312385 16.19426 5.257188 1 0.0
-0.01592745 -0.01265723 1.395292 -2.343488 1.606279 1.207067 -0.02791627 19.71962 2.945148 0 0.0
0.02501476 -0.005567825 -2.28179 -3.740251 1.509854 1.169368 0.3968168 19.98681 2.649031 0 0.0
-0.01311817 0.01149408 -1.904967 -6.983435 1.130966 0.9312567 0.3480225 19.53348 nan 0 0.0
-0.0316815 -0.007339992 -0.6531969 -1.926905 0.6140799 0.5107758 -0.8322105 17.31424 3.242297 1 0.0
-0.01720893 0.00215881 -2.799911 -7.015314 1.570158 1.315296 0.5631488 19.58758 nan 0 0.0
-0.008874001 0.03024003 2.067936 0.06526749 0.6141693 0.5421989 -0.1503707 18.70894 2.638788 0 0.0
0.007855386 0.0008936619 -4.461999 -2.485017 1.032717 0.8804883 0.2225547 18.87526 nan 0 0.0
-0.01399027 0.02673747 -0.60591 -2.804575 0.4334361 0.3535712 0.02931496 18.14375 3.194223 0 0.0
0.01033376 -0.02003784 -1.185788 -3.997115 0.1930328 0.1540898 0.004446356 16.74747 3.22611 1 0.0
0.000310609 0.006307067 -3.76273 -3.819157 0.6116101 0.5022345 0.06689594 18.90302 3.411028 0 0.0
-0.0006357685 0.009454191 -0.9825144 -7.595011 1.255497 1.013071 0.3347155 19.80499 2.932365 0 0.0
-0.008666103 -0.002520568 -1.764792 -8.191829 0.6775838 0.5465008 0.2476408 19.12117 3.158766 0 0.0
-0.01367859 -0.003345179 -4.953459 -2.715681 1.417543 1.138615 0.2601401 20.10228 2.632675 0 0.0
0.02879928 -0.006770612 -5.676587 -5.942191 0.2448163 0.2010059 0.1423943 17.39829 3.307996 0 0.0
0.01824133 0.01179453 -3.76746 -3.908944 1.416802 1.193064 0.3608071 19.87233 2.639988 0 0.0
-0.002988044 -0.01723729 -1.890432 0.1192296 0.2846208 0.2318415 -0.01073737 17.86313 2.120613 1 0.0
0.002920027 0.02283992 -5.737601 -7.296326 1.740596 1.403505 0.5580185 19.89825 2.819885 0 0.0
