# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.02456403 0.02234444 -3.905875 -7.859623 0.7461737 0.5540785 0.1780826 19.12226 1.016487 1 0.0
-0.02294315 0.02140673 -10.5754 -1.304741 1.135096 0.8678339 0.1621909 19.5782 1.734951 0 0.0
0.01546198 0.01499686 0.4875252 -2.877262 0.6821098 0.5249155 0.2480741 19.04477 1.049967 1 0.5528472
0.01692593 -0.01405249 2.813435 -6.637711 0.1782086 0.1397249 0.2396394 16.76004 0.9530411 1 0.0
0.00294095 0.0004954956 -0.82537 -2.401013 0.4420088 0.334257 0.146639 18.40171 1.00407 0 0.0
0.003803636 0.003013142 -2.335761 -5.773018 2.789058 2.126479 0.1667521 20.51812 nan 0 0.0
0.0200839 -0.005119544 -3.332962 -6.220904 2.832106 1.881925 0.06404207 20.73069 0.8412018 0 0.0
0.004224324 0.002131916 -4.449777 -5.15346 1.582846 1.353168 0.3284008 20.03607 nan 0 0.0
0.02390131 0.01799217 -11.08502 1.355138 2.092446 1.647817 0.1944233 20.40324 -0.5001659 0 0.0
0.002330832 -0.0006565134 6.431086 -9.372502 2.176738 1.351697 0.2508328 20.1343 nan 0 0.0
0.002499156 5.301279e-05 -1.662083 -2.32332 0.9726017 0.7045559 0.148549 19.49919 nan 0 0.0
0.007822387 0.006705341 -4.665315 -16.23699 0.5930893 0.4443837 0.126952 18.85038 0.8608589 1 0.0
0.01057917 0.01001985 -1.887307 -2.177696 1.098311 0.8354642 0.1785896 19.76175 0.7828178 1 0.5787374
0.00605493 0.005255981 -3.683421 -3.626092 3.430128 2.213244 0.3528103 20.5796 0.6967144 0 0.0
0.00329843 -0.001923043 -0.9029982 -5.92346 1.361511 1.012729 0.1442008 19.78706 0.7369137 0 0.0
-0.005098071 0.03206577 -0.7437739 -0.1345833 0.4600195 0.361741 0.2937959 18.50022 1.408852 1 0.0
0.001026501 -0.004639017 -3.702897 -10.68144 1.366506 1.021676 0.08409809 19.70408 0.9110146 0 0.0
-0.004589251 -0.01122718 -0.6415292 -3.417856 0.7747133 0.6837379 -0.009049201 19.24457 nan 0 0.0
0.005549629 0.001593925 -1.728152 -4.731619 2.235925 1.803048 0.06138881 20.42009 0.7771015 0 0.0
-0.009383705 -0.01653023 -3.879196 -6.904219 1.871289 1.379077 0.4000393 20.05941 1.108906 1 0.01971105
0.008348117 0.005068758 0.1132284 -5.332016 1.561026 1.113681 0.2320941 20.04805 0.7476845 0 0.0
-0.007386162 -0.01407325 0.7985874 -9.600202 1.525808 1.053447 0.2548142 19.95197 1.080082 1 0.0
0.003866633 0.001380448 -5.343394 -5.65227 1.738268 1.328456 0.1605535 20.08518 0.7891483 0 0.0
-0.01597916 0.02777595 -5.313333 -5.933957 2.200791 1.425668 0.117361 20.3099 1.106846 1 0.007632039
0.02492069 -0.007715535 -1.203392 -4.285019 0.5559336 0.4446576 0.2073224 18.7758 1.049112 1 0.01277714
-0.01800948 -0.006339523 0.7293119 -8.12114 0.8240728 0.598075 0.1757092 19.24767 1.421724 1 0.0
0.01499735 0.008817182 -0.4321485 -2.738275 0.7897693 0.628537 0.1411103 19.2937 1.086452 1 0.8003812
0.003340219 -0.00652357 0.6146318 -5.241453 0.7739594 0.5548511 0.1676389 18.88482 nan 0 0.0
-0.02178644 0.02328785 -1.008251 -2.309228 2.134954 1.605685 0.1625863 20.28973 1.350079 0 0.0
-0.02484662 -0.004087724 -1.987166 -7.066066 0.7144571 0.5400847 0.1103899 18.85287 1.107441 1 0.0
-0.00132989 0.01531947 2.526311 -14.8118 0.8124717 0.5915331 0.2367296 19.09916 1.176796 1 0.0
0.009058385 -0.02527346 -1.899375 -2.003962 1.83502 1.268339 0.09390451 20.13884 0.7469921 1 0.2245957
0.01225873 -0.006345556 -8.527992 -10.15304 1.862841 1.236421 0.1861117 20.11848 1.199276 1 0.0
-0.02355998 -0.01219339 2.327145 -7.705458 0.7006418 0.5192571 0.2107595 18.98703 1.830814 1 0.0
-0.004970956 0.02305165 -5.650917 -3.204458 3.296314 2.193115 -0.05443178 20.70264 0.891737 0 0.0
0.02055446 0.0155712 -1.55615 -3.184652 0.5112049 0.3990276 0.2133329 18.70856 0.9690056 1 0.3558048
0.007949251 0.01101975 -1.65973 -2.447698 1.478701 1.035387 0.1832795 19.92548 0.7277565 0 0.0
0.01318944 0.01518438 -2.18869 -2.337551 1.7195 1.352248 0.2482486 20.11049 0.8212528 0 0.0
0.00178348 -0.01307715 -3.805882 -7.910479 0.648382 0.5375217 0.1978084 18.88561 0.9017506 1 0.0
0.009167438 -0.001973305 0.8368868 -3.300546 1.39266 1.27058 0.02686477 19.93428 0.7646904 0 0.0
-0.03286574 0.003796826 2.882536 0.1026555 2.405179 1.795882 -0.01211235 20.33309 0.8785057 1 0.05511744
0.02459767 0.02225669 1.8899 -2.866314 1.709013 1.34211 0.2284614 20.15756 0.7177124 0 0.0
0.008138499 0.01021482 2.913302 -10.29034 2.507702 2.001227 0.3829317 20.56167 nan 0 0.0
0.009315194 0.0009792457 -0.7391078 -2.689419 0.1251933 0.09622941 0.1943434 15.97851 1.248974 1 0.9918356
