# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
0.03688343 0.03045261 -6.880382 -3.836169 0.7493036 0.5377038 0.3245263 19.05564 2.179977 0 0.0
-0.03622718 0.02508557 -5.041541 -6.444882 0.4513041 0.313872 0.09839417 18.20709 2.32971 0 0.0
0.04808663 0.0133656 -4.588701 -8.960503 0.3263906 0.2574924 0.3979359 17.69467 2.641434 0 0.0
0.01832134 0.03214958 -0.1861656 -4.416267 0.1687793 0.126056 0.02795579 15.60636 3.803005 1 0.0
-0.0101249 -0.02670048 -1.234353 -2.942893 0.3440289 0.2845931 -0.02332085 17.75291 1.880919 0 0.0
0.01030771 0.01749849 -2.873745 -5.999329 0.4222234 0.2996018 0.02835702 15.80787 4.71817 0 0.0
-0.01914565 0.02079308 -3.380322 -2.159098 0.5173763 0.3830959 0.1555262 18.51166 2.086226 0 0.0
0.0001816875 0.01784807 2.645975 -10.4507 0.2843899 0.2732948 -0.1765543 17.51164 2.569217 0 0.0
0.004014034 -0.01383117 -0.1837989 -0.6550239 0.1493256 0.1143065 0.01539543 15.97285 2.985246 1 0.0
-0.01810515 -0.03047626 -6.538335 -2.099166 0.806547 0.7015174 -0.1450456 18.41598 2.678064 0 0.0
-0.02234878 0.03834383 -3.064673 -7.6028 0.498579 0.3543835 -0.01944296 18.42875 2.649923 0 0.0
-0.01781386 -0.03387129 -0.7462489 1.093154 1.345854 1.198647 0.6629178 19.64414 nan 0 0.0
-0.03459047 0.03259157 -1.990165 -6.970812 0.5514855 0.3903593 -0.3761037 17.96477 2.517191 0 0.0
-0.03530373 0.03064583 -2.75375 -3.932096 0.7484226 0.5751364 0.3338539 18.06567 nan 0 0.0
-0.01388362 0.0168343 -1.803289 -9.689052 0.3414344 0.2899164 0.2072604 17.56126 2.507067 0 0.0
-0.01599853 0.01576968 -3.261712 -6.456573 0.5510037 0.4455474 0.2635221 18.04825 2.5896 0 0.0
-0.04666522 0.0122028 -8.095034 -1.485747 1.808982 1.457639 0.5844935 19.78054 2.058725 0 0.0
0.0285405 -0.01703762 2.421468 -11.91849 1.315449 1.063876 0.6444479 19.35706 nan 0 0.0
