# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
0.01051216 -0.001289423 -2.612022 -3.565825 1.672073 1.42824 0.05779892 20.36516 2.311274 0 0.0
0.007847555 0.02100944 -1.045849 1.593839 1.44643 1.44949 -0.126092 20.0352 1.195307 0 0.0
0.008089196 -0.01554728 -0.72522 -3.000063 1.128794 0.9795634 -0.002305423 19.9388 1.108234 0 0.0
0.01814354 -0.005761439 -4.542936 1.389162 1.325354 1.368605 0.01847067 19.77661 1.864117 0 0.0
0.001669247 -0.002514301 -4.316168 -3.432201 1.303349 1.325419 -0.004282916 20.0071 0.7885838 0 0.0
-0.01495666 -0.0004522197 -1.015671 -0.3280008 1.663307 1.570095 0.3466921 19.94098 1.778936 0 0.0
-0.0009655158 0.02914387 -3.727727 -8.55863 1.026946 1.011873 -0.1143299 19.6375 2.095947 0 0.0
-0.02328472 -0.001173543 -3.088636 -4.60878 0.2495292 0.1978677 0.06895124 17.73194 2.043571 1 0.0
0.006181422 -0.01142547 -3.039235 -1.685654 1.915001 1.69213 -0.03021066 20.53804 0.7136497 0 0.0
-0.006931339 -0.004618632 1.596962 3.121263 0.8316087 0.8244415 0.133312 19.38939 1.69166 0 0.0
-0.005174721 -0.0189571 2.939116 -1.154671 2.380613 2.358348 0.1631757 20.62171 0.5827847 0 0.0
-0.002449325 -0.008787097 -1.369325 -2.489566 0.7340837 0.7501566 -0.1811406 19.07147 1.643665 0 0.0
0.01735611 -0.007138514 -3.818891 -1.567521 2.236786 2.284245 -0.03097147 20.38994 0.8003693 0 0.0
-0.006719023 -0.02716444 -2.962222 -7.527 1.616409 1.588743 0.05225131 20.28916 1.004513 0 0.0
0.007725898 -0.009716034 -6.359603 -3.829962 1.758204 1.491564 0.04319193 20.32598 3.109304 0 0.0
0.00157838 -0.006844935 4.812345 -4.297429 2.3839 2.427146 -0.3626943 20.56786 1.290642 0 0.0
-8.721923e-05 0.006466454 10.14762 -0.7907969 2.43985 2.104194 0.04357189 20.57263 1.068451 0 0.0
0.01662945 -0.003187892 4.340194 1.555722 0.6640629 0.6774968 0.04012992 19.15936 1.604532 1 0.0
