# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.02512287 0.05996537 -4.191607 -7.151582 0.1217429 0.1066501 -0.4072033 16.71241 1.999637 1 0.3407353
-0.03229511 0.05764085 -4.863712 -5.263183 0.9223312 1.42419 -0.5551427 19.38672 nan 0 0.0
-0.001660008 0.02982192 -3.457007 -5.222861 1.264485 1.814473 -0.3639587 19.55843 nan 0 0.0
-0.01243902 -0.01201196 -5.6294 -9.507528 1.740005 1.334885 0.0629561 20.16906 1.396864 0 0.0
-0.007481595 -0.06348623 -0.1175873 -7.837412 2.894779 1.557448 -0.4461903 20.5842 1.028034 0 0.0
0.02351774 -0.02069542 2.010812 -2.507811 0.4142078 0.2893967 -0.2538102 18.37936 nan 0 0.0
-0.05669926 -0.005901265 -8.858779 -1.003702 0.9571694 0.8698043 -0.3474759 19.90718 1.772312 0 0.0
0.009874888 -0.05797833 -1.856508 -2.344844 0.1069393 0.09258248 -0.2164472 16.34271 2.04554 1 0.0
0.01298675 -0.06011928 -3.275895 -4.835904 0.3202179 0.3002739 -0.2549154 18.28963 2.088091 0 0.0
-0.002996481 0.00754783 -3.273165 -7.692577 0.2229824 0.2751339 -0.2544136 17.47174 2.051298 0 0.0
-0.01892164 0.05779062 -5.434622 -4.702164 0.120702 0.1010606 -0.3111555 16.84572 nan 0 0.0
-0.01736658 0.001467327 -0.9254485 -4.561098 2.034127 1.070024 -0.2650878 20.19869 1.576782 0 0.0
0.01726377 -0.05349097 -2.973481 -1.781804 0.3063707 0.2576332 -0.316806 18.1505 1.501459 0 0.0
-0.01788639 0.01812588 -2.052498 -5.409023 3.102932 2.645899 -0.4484379 20.65254 nan 0 0.0
-0.01752581 0.00811246 -4.59726 -4.706835 0.4365003 0.3308542 -0.3039196 18.65374 nan 0 0.0
-0.03191399 0.02703202 -5.641335 -10.60265 0.4095412 0.3637443 -0.2907747 18.7038 nan 0 0.0
0.04207538 0.03171844 -11.97732 -11.57885 4.240835 1.728803 -0.3140196 20.72297 1.16489 0 0.0
-0.01063858 0.006741615 4.831203 -11.16162 1.286506 1.305027 0.0468631 20.02293 1.432459 0 0.0
