# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.06082242 -0.08568476 -8.280839 -0.4810927 1.229439 0.824078 -0.1841691 19.63183 1.086863 0 0.0
0.06115097 -0.1172404 -2.832994 -9.097174 0.3814803 0.3811228 -0.25677 18.11374 1.932093 1 0.0
0.04185733 -0.1252027 -4.752316 0.09134838 0.5315875 0.4070211 -0.106496 18.71319 1.30463 1 0.0
0.03992497 -0.1189907 -8.550601 -4.262943 0.5077753 0.4254023 -0.09170231 18.82182 1.52994 0 0.0
-0.03696608 -0.1241991 -6.905232 -2.056209 2.026405 1.099892 -0.1495054 19.98609 1.066956 0 0.0
-0.06282093 -0.0911463 -11.43473 -1.685519 1.908399 1.291364 -0.211763 19.9133 1.326992 0 0.0
0.03852376 -0.1245132 -6.067082 -1.256244 1.532791 1.557843 -0.2802211 20.07013 1.091818 0 0.0
-0.06093808 -0.09163203 -6.056924 -3.646843 0.5101867 0.5075664 -0.1889458 18.83655 1.281414 0 0.0
0.04749001 -0.1162933 -7.57312 1.348019 1.458389 0.7709571 -0.1230483 19.58677 1.204248 0 0.0
0.04282444 -0.1169944 2.324056 0.6408443 1.705349 1.056839 -0.1968955 20.02587 0.701107 0 0.0
-0.05759183 -0.09174213 -4.47941 0.1832409 1.242368 0.8589564 -0.1898826 19.68645 1.38903 0 0.0
-0.06903369 -0.09393999 -0.1552024 1.589145 0.9904377 0.8308102 -0.3550061 19.1815 0.3151779 0 0.0
0.07731023 -0.1068355 -4.220951 -1.187815 0.2493748 0.2039387 -0.07795233 17.52989 1.581848 1 0.0
0.06847249 -0.1132339 0.4614628 4.411713 2.710524 2.067105 -0.1459514 20.56057 1.061365 0 0.0
-0.05909909 -0.1169783 -7.529319 -0.1909144 3.533154 2.20985 -0.202405 20.24758 1.566154 0 0.0
0.05053503 -0.1205843 -3.236423 -1.14585 0.6453653 0.5609717 -0.3367199 18.92405 1.124334 0 0.0
0.04330019 -0.1162319 -7.273903 -0.2956042 1.536047 0.8497773 -0.2122852 19.65174 1.119314 0 0.0
0.05050739 -0.1198023 -7.195839 -4.363083 1.916354 1.37584 -0.5133831 19.93344 1.036261 0 0.0
-0.04236578 -0.1197291 -5.605784 0.4960231 0.3364695 0.3146503 -0.1843507 18.02182 1.306787 1 0.0
0.04944952 -0.1228986 -5.684235 0.2346641 0.9790347 0.5236842 -0.1289954 19.1096 1.249985 0 0.0
0.04337821 -0.1141225 -6.669027 -2.548347 1.374661 0.8420989 -0.1828947 19.76731 0.9758263 0 0.0
-0.04083947 -0.1267468 -7.555874 -2.317763 0.3015003 0.2688359 -0.1371083 17.89675 1.369055 0 0.0
0.04869527 -0.1175573 -12.457 -3.618876 0.2425283 0.214739 -0.07297321 17.62508 1.406199 1 0.0
-0.0552406 -0.1101222 -6.028524 -1.487702 0.5471589 0.490098 -0.1653688 18.80991 1.245209 1 0.0
-0.07313737 -0.09562484 -0.5683609 -5.427027 0.4243919 0.3929119 -0.2100773 18.37407 nan 0 0.0
-0.03740019 -0.1276784 -8.695207 -2.908688 0.366299 0.3279404 -0.1437404 18.23617 1.331175 1 0.0
0.0493671 -0.1200604 -7.838107 -0.2951479 1.832277 0.9976105 -0.2356555 19.89155 1.00721 0 0.0
0.08700582 -0.0954546 -4.394677 -0.02279235 1.499988 1.420557 -0.09124516 20.17047 0.9265404 0 0.0
-0.04435849 -0.1123496 -4.228828 -1.900683 2.093422 1.245438 0.1115061 19.98808 1.185902 0 0.0
-0.05540945 -0.1197469 -5.99648 -4.592553 2.380631 3.192401 -0.3533548 20.65929 0.9601879 0 0.0
-0.05036084 -0.1147972 -11.83365 -2.008616 0.8140994 0.6095887 -0.2117204 19.08039 2.132357 0 0.0
0.03553043 -0.1259298 -1.323178 -4.689999 0.9984497 0.572299 -0.04292356 19.10333 1.173193 0 0.0
-0.03592115 -0.1242326 -5.587182 -4.121738 2.685439 3.022792 -0.2990498 20.63588 1.600821 0 0.0
0.04079703 -0.1211887 -18.87928 -10.99254 3.355284 3.398626 -0.5051921 20.58355 1.50271 0 0.0
-0.05425456 -0.08431465 -4.195086 -6.405762 1.972094 2.080675 -0.2531019 20.32442 1.258043 0 0.0
-0.04151739 -0.1124652 -16.16379 -0.342701 0.4083365 0.3687934 0.02968443 18.2907 1.569599 1 0.0
-0.05713454 -0.07735634 -3.099508 -6.700723 0.4406532 0.4114722 -0.1375907 18.63102 1.208237 1 0.0
-0.06936073 -0.1039121 -1.597039 -7.033161 2.259592 2.784164 -0.3647475 20.55445 1.194252 0 0.0
-0.05781209 -0.1129597 0.5407131 -4.524841 4.685247 3.883505 -0.3579128 20.96965 0.9842014 0 0.0
0.04601981 -0.1232918 -12.56732 -7.064711 0.4310869 0.312093 -0.09066453 18.41394 1.497726 1 0.0
0.04460542 -0.1222528 -3.988542 -2.872473 0.9587852 0.525458 -0.1889965 19.11947 1.012844 0 0.0
-0.0550586 -0.1192048 -1.778725 -4.343402 3.102855 3.298136 -0.0972911 20.63191 1.096827 0 0.0
-0.06218675 -0.1170319 -6.251452 -0.8606756 0.4124517 0.4376878 -0.3511784 18.24139 1.282606 1 0.0
0.06650558 -0.106788 -4.587761 -1.852845 1.853827 1.797509 0.09477366 20.27744 0.9307594 0 0.0
-0.0446522 -0.1132082 -3.923678 -0.1475732 1.793115 1.594415 0.0128603 20.28443 1.497351 0 0.0
0.07699854 -0.1057058 -6.108346 -3.470254 0.500606 0.3942617 -0.08324935 18.74728 1.223917 1 0.0
-0.05789978 -0.0887785 -0.7187102 -1.639191 0.2039201 0.1953813 -0.1090415 17.28683 1.455528 1 0.0
0.04334388 -0.1202488 -7.508981 -1.242299 1.273711 0.7082103 -0.1875477 19.44751 1.110573 0 0.0
-0.0455989 -0.107159 -2.305981 -4.381738 0.6621435 0.5401221 -0.1580068 18.93029 2.116957 0 0.0
0.0348176 -0.1264748 -7.361419 -0.5700877 2.802796 0.8424887 0.1971165 19.72084 0.9186459 0 0.0
-0.04544577 -0.1177828 -5.477917 -3.67967 2.155279 1.99499 -0.3360319 20.19207 0.9978123 0 0.0
-0.06591905 -0.09832992 -5.702849 -2.016564 0.2517315 0.2958183 -0.330614 17.60069 1.363445 1 0.0
-0.06434517 -0.1090508 -2.904436 -2.455842 1.058366 0.9067092 -0.3077396 19.32834 1.50774 0 0.0
-0.0521613 -0.1023481 -6.080949 -0.2503843 1.479472 1.0857 -0.1398738 19.96347 1.297743 0 0.0
-0.07521203 -0.1056189 3.761548 -1.659484 2.725359 2.645176 -0.4404496 20.4057 0.8882694 0 0.0
0.07471489 -0.1016851 1.873913 -0.2748338 0.7033113 0.4720792 -0.04796818 19.00854 1.154903 0 0.0
-0.07200038 -0.09332659 -6.55967 -2.693594 0.9913581 0.6731156 -0.2037257 19.28246 1.564297 0 0.0
-0.05645931 -0.07743179 -3.018991 -4.253577 0.4037256 0.3739736 -0.1527285 18.39267 1.136263 0 0.0
0.07325465 -0.1055089 -8.017749 -4.876412 0.149715 0.1330984 -0.05734448 16.72498 1.395687 1 0.0
-0.05364269 -0.1114402 -7.081501 -3.848266 1.271557 0.7993906 -0.2370964 19.52769 1.189749 0 0.0
-0.05455444 -0.1118037 -7.084357 0.7619557 1.252723 0.7428089 -0.1969695 19.38523 1.173651 0 0.0
-0.06642699 -0.1084968 -11.07298 -2.687703 0.06773771 0.07815319 -0.170841 14.90608 1.826387 1 0.0
0.05096601 -0.108969 -7.216023 -1.588274 2.15893 1.727269 -0.04895576 20.27019 1.782721 0 0.0
-0.05605122 -0.1154638 -4.791511 1.668742 1.485909 0.9631818 -0.2346421 19.66278 1.175148 0 0.0
-0.03833392 -0.1242536 -6.361527 -3.34077 0.4517552 0.4096282 -0.1588337 18.56993 1.400877 1 0.0
-0.05346886 -0.09761938 -6.727709 0.7159991 0.356454 0.3440975 -0.1432607 18.17639 1.286657 1 0.0
-0.0521705 -0.1192281 -1.353149 -4.26937 1.522346 0.8185055 0.1777672 19.31426 1.174469 0 0.0
0.08430719 -0.09499559 -23.20772 -12.76853 1.667945 1.324228 -0.07772257 20.38898 1.420792 0 0.0
-0.05076515 -0.1100789 -16.79437 -6.399299 0.4519248 0.4008939 -0.1334315 18.54897 1.566978 1 0.0
-0.0632716 -0.1157555 -12.55849 -0.7143548 0.4047072 0.3990239 -0.2797515 18.25931 1.538427 1 0.0
0.0787216 -0.098457 -13.64437 0.106107 0.3757497 0.3029597 -0.04957401 18.46225 1.509823 1 0.0
0.03782396 -0.1207399 -6.333724 5.877632 4.485359 3.313861 -0.141584 20.69928 0.7423954 0 0.0
-0.06033038 -0.09111624 -6.156246 -2.870606 1.478746 0.9996022 -0.2138891 19.79636 0.9172649 0 0.0
-0.06820107 -0.09135238 -1.928856 -10.27364 1.03633 0.8383723 -0.3225625 19.28029 1.721252 0 0.0
-0.05530882 -0.1165501 -8.07179 -4.483535 0.4160798 0.3747204 -0.1389904 18.42993 1.04092 1 0.0
0.0323847 -0.1282048 -5.609311 0.5303683 0.6158998 0.476494 -0.0658026 18.78886 1.251312 1 0.0
0.04569755 -0.1225819 0.8283531 -0.9138376 1.432786 0.947146 -0.2607771 19.64657 0.7909737 0 0.0
-0.0444145 -0.1231338 -6.454409 -4.226595 0.4320853 0.3913777 -0.1372404 18.4838 1.370626 1 0.0
0.03993356 -0.1200321 -6.822072 2.175029 0.3192415 0.2759731 -0.07070761 17.98145 1.20867 1 0.0
0.05258569 -0.1217348 -8.730869 -0.5938622 0.6822994 0.5894037 -0.339827 18.89598 1.23835 0 0.0
-0.0401487 -0.1237593 -4.222364 -1.581431 0.5371968 0.4874183 -0.1493789 18.68659 1.507008 0 0.0
0.05475831 -0.1161718 -4.368974 -4.651173 0.4062152 0.360944 -0.08193298 18.49768 1.860115 1 0.0
-0.05445201 -0.08616501 -8.555574 -2.635627 0.3460092 0.299215 -0.1549407 18.07554 1.215996 1 0.0
-0.0641851 -0.08773786 -5.913991 -2.448901 0.9546322 0.6535798 -0.217194 19.20877 1.345078 0 0.0
-0.06181583 -0.1173214 0.1667109 -0.1597828 2.060513 1.276094 -0.45645 19.77107 nan 0 0.0
-0.05595022 -0.1203465 -8.913247 -3.277537 0.7052925 0.5854239 -0.1396548 19.04849 1.373146 1 0.0
0.07911739 -0.09494053 -9.418785 -6.96004 0.4342708 0.3742371 -0.1321449 18.6807 1.465374 1 0.0
0.08750104 -0.09495582 0.8765754 -3.191012 0.2542376 0.21768 -0.06213187 17.85743 1.444365 1 0.0
0.08319331 -0.09074398 -6.67113 -4.595808 0.3615444 0.3004112 -0.06114426 18.40428 1.341034 0 0.0
-0.0486665 -0.1177403 -4.706346 -4.500173 1.805147 0.9932476 0.1597807 19.58232 1.425119 0 0.0
-0.06886701 -0.09101005 -6.888707 -7.181254 0.621099 0.6614937 -0.2623532 18.95939 1.285084 0 0.0
-0.04107368 -0.1198195 -5.57856 0.6733735 2.319017 1.373504 -0.1877214 20.10708 1.140123 0 0.0
-0.04867769 -0.09835026 -4.032157 -0.6776735 0.1862232 0.1869877 -0.1056006 17.2143 1.715433 1 0.0
-0.06056106 -0.1106783 -3.062273 -1.427765 1.751829 1.000494 -0.2039194 19.61116 1.323565 0 0.0
-0.05801426 -0.09594264 -9.123367 -3.029491 1.217495 0.8379335 -0.2048917 19.57338 1.311934 0 0.0
-0.05702238 -0.09101662 -4.864883 0.5469137 2.447233 2.869816 -0.2280425 20.69261 0.9615459 0 0.0
-0.04100804 -0.1188658 -4.576543 3.420186 2.078245 1.231594 -0.193303 20.13758 2.10531 0 0.0
-0.05834099 -0.08571968 -8.770537 -2.606771 2.276442 1.506738 -0.1755519 20.3625 1.539089 0 0.0
0.06971849 -0.1123813 -0.2692946 -3.78493 2.339161 1.327758 -0.1100139 20.44467 nan 0 0.0
0.07710763 -0.103009 -1.44872 0.555131 1.362599 0.8958402 -0.1929209 19.78077 0.9414082 0 0.0
0.04593405 -0.1141326 -9.642934 -2.80534 1.497317 0.795816 -0.1299596 19.61707 1.287878 0 0.0
0.03930818 -0.1181471 -6.597301 -1.735206 0.4533486 0.3761606 -0.05892641 18.63077 1.474079 1 0.0
0.08248657 -0.1030756 -6.678345 -1.788031 0.91863 0.4831494 -0.03709343 19.1263 1.366665 0 0.0
-0.04967955 -0.09478841 0.4138421 -0.4853009 0.4340778 0.4189401 -0.1461118 18.60749 1.337934 1 0.974711
-0.04930413 -0.0991482 4.977763 -0.5091016 2.063076 1.234195 0.1201348 20.00833 1.178934 0 0.0
-0.06132391 -0.09453934 -7.914568 -0.278055 1.028342 0.7024604 -0.2071606 19.30694 1.590597 0 0.0
0.06966062 -0.1129419 -6.583257 -0.4678055 1.463486 0.7629667 -0.02405815 19.72764 1.154701 0 0.0
-0.05235593 -0.09838103 4.343044 0.5603749 2.152684 2.089922 -0.2660205 20.57775 1.027996 0 0.0
0.07771974 -0.1007365 2.945935 -1.177794 1.795341 0.9442539 -0.05523345 20.09434 0.8154392 0 0.0
-0.0616121 -0.09229669 -3.491174 -7.368946 2.449384 3.160238 -0.3715748 20.61155 0.7015133 0 0.0
-0.07882274 -0.1003874 -3.969683 -1.532895 3.528587 1.323697 -0.05499591 20.19963 1.301197 0 0.0
0.07313631 -0.1022662 -3.36739 -0.4853358 1.575377 0.9205476 -0.04954444 19.73982 0.6739597 0 0.0
0.06811457 -0.1047685 1.789031 -2.452359 1.797955 1.054351 -0.0009873323 20.12937 1.280128 0 0.0
-0.05983509 -0.09910356 -6.566964 -1.413047 0.6437115 0.5853495 -0.1945647 18.97486 1.437422 0 0.0
-0.05184829 -0.08507861 -6.492696 -5.703429 1.226131 0.8435539 -0.1642457 19.57557 1.336369 0 0.0
0.07107603 -0.1070504 -3.03419 -5.639624 0.4886315 0.4183194 -0.04883138 18.73637 1.487194 0 0.0
-0.06224326 -0.1034708 -9.135517 -2.277537 0.821855 0.5680867 -0.1367 19.08584 1.527798 0 0.0
-0.07936097 -0.1024025 -3.480215 -2.758859 0.4959646 0.5027073 -0.1869853 18.8046 1.329374 1 0.0
0.07819811 -0.1044299 -8.803113 -3.465818 1.166956 0.6341717 -0.3373669 19.0914 1.668304 0 0.0
-0.05448066 -0.1019808 -4.312553 -2.462735 1.483866 1.216828 -0.153074 20.1307 1.555962 0 0.0
0.05643035 -0.1085864 -9.611223 1.035901 1.60607 0.8955933 -0.3024521 19.79537 1.375103 0 0.0
-0.06739518 -0.1027838 -18.53813 -6.63997 3.221633 3.331236 -0.3305114 20.70807 1.314322 0 0.0
0.08507982 -0.09354744 -6.31074 -0.6158183 0.2881396 0.2404754 -0.04602047 18.00358 1.267014 1 0.0
0.05128105 -0.1076686 -4.024943 6.62647 1.432703 0.746858 -0.08843428 19.64936 1.579512 0 0.0
-0.07742356 -0.1072019 -1.718048 -3.961826 0.4318453 0.4362359 -0.1904287 18.59146 1.664577 1 0.0
-0.07451071 -0.1102679 -6.319774 -2.66857 0.4425972 0.4364329 -0.1771712 18.62817 1.31213 1 0.0
-0.04801458 -0.105277 -9.433252 0.2931223 1.853294 2.026235 -0.3642374 20.29812 1.264721 0 0.0
-0.05391613 -0.08106413 2.848325 0.4849588 4.11487 3.381278 -0.2620062 20.69241 1.027412 0 0.0
-0.06993516 -0.1073538 -9.210047 -0.9794392 0.3876492 0.384681 -0.1781842 18.40365 1.544851 1 0.0
-0.04655534 -0.1104292 -0.5593484 2.984071 0.4427176 0.5314512 -0.2397386 18.3628 1.371803 1 7.96017e-05
-0.05444727 -0.1060663 -4.314158 -3.667358 1.828308 1.217165 -0.1901736 19.90555 1.001425 0 0.0
-0.05934017 -0.1069383 -7.03571 -0.5393079 0.7589177 0.5832801 -0.1012492 19.09648 1.343699 0 0.0
-0.06035801 -0.10615 -7.285685 -5.009493 0.5007861 0.4903951 -0.1104857 18.74725 1.944775 1 0.0
0.0561876 -0.1127937 -5.110403 -0.1427599 1.404474 0.7665274 -0.3335582 19.5219 1.083548 0 0.0
0.0547603 -0.1065969 1.456775 -3.447838 2.29596 1.615963 -0.4214873 20.114 1.134518 0 0.0
-0.05064602 -0.1061115 -4.180382 -1.498008 1.336338 0.8337546 -0.1574275 19.37877 1.487989 0 0.0
-0.0808113 -0.1045184 -3.599088 -2.801872 0.5072598 0.500064 -0.1752112 18.53134 1.497421 1 0.0
0.08533071 -0.09154137 -0.6741344 -5.126481 3.560446 3.248869 -0.4739073 20.69225 1.116123 0 0.0
0.08029579 0.05681006 -1.909646 -1.400985 2.545178 2.316876 -0.0636328 20.61582 1.324488 0 0.0
0.0409399 -0.004031918 0.3963681 0.07717238 0.1152858 0.09406854 -0.03356551 15.96146 1.395175 1 0.9986341
-0.05605925 -0.04697857 -3.378769 -0.4151361 2.296293 2.311967 -0.3742298 20.23463 1.01347 0 0.0
-0.02254874 -0.04228058 -0.7169072 1.417871 1.705593 2.495898 -0.6349888 19.69433 0.7672653 0 0.0
0.03149116 -0.00506204 -1.889696 1.291559 1.922599 1.561709 -0.2626078 19.60662 0.8906612 0 0.0
-0.04139257 -0.09294528 -4.425245 -0.385749 1.767829 0.9991282 -0.1469908 19.79909 1.022285 0 0.0
0.02594035 -0.002083094 1.052922 0.3292587 0.2334244 0.2360979 -0.04133107 17.48578 1.216967 0 0.0
-0.03863375 -0.09550253 -7.622423 -1.844022 0.9112983 0.6046728 -0.1506444 19.19891 1.167242 0 0.0
0.04334518 0.001436146 0.6319287 0.6008309 0.3343786 0.2550602 -0.03284678 17.93724 1.130135 0 0.0
-0.02784312 -0.05241151 -3.188624 -1.511239 0.3039695 0.3860491 -0.2019866 18.02302 1.149508 0 0.0
-0.1164046 0.005111948 1.731585 -4.197463 4.400534 3.430223 -0.1866388 20.65211 1.061142 0 0.0
0.1042808 -0.01450458 0.1467268 -0.3621764 0.9137674 0.5500529 -0.1147268 19.21656 1.2344 0 0.0
-0.08133247 -0.08403438 -7.913603 -1.069053 0.5024518 0.4733831 -0.04505903 18.54063 1.423424 1 0.0
0.04332146 -0.02361114 0.06629687 -0.2173071 0.2373486 0.1759886 -0.02679657 17.26102 1.341576 1 0.9985162
-0.0352318 -0.03267174 0.2448177 -1.863261 2.115232 2.699008 -0.2754726 20.31794 0.9149761 0 0.0
0.04405865 0.01036949 0.5022885 -0.2119711 0.3898676 0.2811374 -0.05052336 18.31971 1.162312 0 0.0
-0.01790816 -0.009380578 -0.353299 0.9551156 0.5818249 0.3979655 0.1109435 16.65046 1.23951 0 0.0
9.993297e-05 -0.0540815 0.4941206 -0.3292291 2.234861 1.851856 -0.302563 20.06551 0.7176056 0 0.0
0.06602858 -0.03572325 -5.429757 -0.7859097 0.3866813 0.3398464 0.1422545 18.30389 1.014637 0 0.0
0.04183909 0.01067675 0.2133776 -1.100983 0.4804367 0.3731836 -0.1024784 18.2014 1.114119 0 0.0
0.04645757 -0.06650668 -6.31409 -5.288291 1.453027 0.6000142 -0.3418565 18.98594 0.9465961 0 0.0
-0.04781733 -0.09399678 0.8525641 0.362275 1.133074 0.7853386 -0.1665127 19.54101 1.461905 0 0.0
0.1305773 -0.01572028 -10.51071 -1.018358 0.9596077 0.5379194 0.003532635 19.40458 1.844173 1 0.0
0.01225791 -0.02106313 -0.8579999 -1.852742 1.961057 0.7752398 0.1011862 19.28698 nan 0 0.0
0.06360651 0.04325212 -3.616991 -2.568375 2.000402 0.8304032 0.1779636 19.60851 0.9460392 0 0.0
0.05330827 -0.007123113 0.1612629 -4.035306 1.977829 1.626134 -0.06618068 20.29459 0.5771332 0 0.0
0.04197463 -0.0181358 0.4111624 0.09749404 0.1463193 0.1126021 -0.03208718 16.61055 1.367951 1 0.9981605
-0.002194129 -0.02832854 -3.294762 4.313815 1.122549 0.8561018 -0.05888291 18.45039 1.063786 0 0.0
0.08106566 -0.06298821 -10.26523 1.607517 2.35187 1.609065 -0.2130779 20.26823 1.086727 0 0.0
-0.02188165 -0.02437407 -5.051595 4.777158 1.633042 1.605421 -0.2730154 19.7235 0.8811035 0 0.0
0.007708224 -0.0139401 0.2020031 -1.699774 1.005453 0.4694137 0.2079163 18.27727 nan 0 0.0
-0.04238569 -0.05734364 -1.207258 2.116488 1.226145 0.862239 -0.1664102 19.65376 0.6646309 0 0.0
0.1215703 0.0204184 -6.646041 -4.894393 2.165061 1.514984 -0.0104619 20.3268 0.9702435 0 0.0
0.04271887 -0.006238439 1.177163 0.9705325 0.3305722 0.2502284 -0.0386988 17.91273 1.248432 0 0.0
0.0371696 -0.03759423 -1.67588 2.275286 1.873846 0.9327165 -0.1878353 19.37479 1.074303 0 0.0
0.05061827 -0.03686327 -6.763278 -8.566011 0.5370253 0.4724203 -0.05237438 18.82652 1.301352 0 0.0
-0.002945401 -0.03984134 -4.034897 -1.729547 1.219295 0.9011949 -0.02063438 19.57164 1.160976 0 0.0
-0.02889886 -0.0378858 -4.752272 0.6647823 0.4029758 0.4528797 -0.122691 18.12512 1.244349 0 0.0
0.00793672 -0.01414995 3.199041 -0.1353158 0.3155117 0.2112071 0.00251171 16.94997 0.5972061 0 0.0
0.02551211 -0.001422911 3.120552 -3.389262 1.011584 1.163726 -0.1163097 18.23947 1.091883 0 0.0
-0.0497744 -0.01637741 2.751105 -2.9318 1.731845 1.203682 -0.2949927 19.86351 0.6415157 0 0.0
0.03222516 -0.1120381 -8.768713 -1.782657 1.571524 1.209282 -0.1505326 19.8552 1.29311 0 0.0
0.07973379 0.03526561 0.6212975 -0.7279947 0.7261 0.4673633 -0.1652139 19.00812 1.072557 0 0.0
0.06874155 -0.06073642 -5.854963 -2.095009 0.4562935 0.4204156 -0.06481598 18.60925 1.028521 0 0.0
-0.1040863 -0.0538719 0.01595834 -1.089005 1.262201 0.7530286 -0.1570348 19.31738 1.265472 1 0.7267871
-0.1214253 0.008867842 -1.263413 -9.356067 1.339836 0.9545683 -0.271213 19.54909 1.007914 0 0.0
0.01001703 -0.03711865 1.055156 3.042434 1.579841 1.259356 -0.1676517 19.83618 0.8622799 0 0.0
-0.1073207 0.02717552 0.3714066 0.03883038 0.1851287 0.1669702 -0.0659582 16.95051 0.3757057 1 0.9924964
0.04618777 0.01487637 0.3895872 0.1232961 0.1656583 0.1282376 -0.04108043 16.7222 1.265517 1 0.997861
-0.1314195 0.002374311 -9.435098 -1.656129 0.5294046 0.662523 -0.2135015 18.58485 1.356646 1 0.0
0.1293611 0.01891314 -9.795832 -1.475248 1.066529 0.4544759 0.2121924 18.97935 1.88114 0 0.0
0.04728976 0.002485099 0.4971796 -0.5440643 0.2339236 0.1993562 -0.04494204 17.41692 1.224705 0 0.0
-0.06685237 -0.08407576 -4.438584 -2.751389 0.508918 0.4901627 -0.1843036 18.80834 1.244091 1 0.0
0.07084855 0.04693031 -0.7785718 0.1520343 0.8449293 0.5100146 -0.009101416 19.18928 1.129299 0 0.0
0.01811554 -0.01495775 1.982723 -1.140011 2.193989 0.6506869 0.2103247 19.33731 0.8961506 0 0.0
-0.01005446 -0.03967832 2.314577 0.3041435 2.199197 1.287818 -0.2386425 20.13858 0.1263371 0 0.0
0.0827107 -0.03173349 -0.2517538 2.616452 2.264445 2.079618 0.151483 20.49615 nan 0 0.0
0.1192133 0.04847034 -4.876416 -1.623508 1.987166 1.409918 0.01633868 20.4121 1.201979 0 0.0
