# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.003035097 0.005775142 -2.018504 -3.744418 0.3122285 0.2201513 0.242337 17.40335 2.679188 0 0.0
0.0486153 -0.03669912 -0.3829918 0.7834036 1.588495 1.064807 0.3460687 19.59238 2.319788 0 0.0
0.01376051 -0.01696173 -4.181148 -4.280251 0.4916057 0.374792 -0.0626701 18.82427 2.221134 0 0.0
0.01310272 0.01247641 -2.728484 -1.823223 0.6620192 0.4868057 0.09656615 18.88766 3.078684 0 0.0
-0.0121081 -0.007863374 -3.248138 -0.7300162 0.980758 0.7021512 0.3509746 19.13932 2.480787 0 0.0
-0.03447225 -0.056264 5.660475 -2.758108 0.9385989 0.813124 -0.1637291 18.27044 2.138397 0 0.0
0.01525722 0.00329782 -4.106687 -3.503274 0.8086077 0.6824439 -0.2144595 19.00518 2.511818 0 0.0
-0.0344926 -0.01467618 -2.342023 -3.441519 0.3513432 0.285175 -0.2872101 18.10273 2.579681 1 0.8327021
0.01241015 -0.01784267 -1.000219 -3.613261 0.6662018 0.4677869 5.727456e-05 18.67462 2.40037 0 0.0
0.03158591 -0.04260985 0.6052016 -0.552083 0.2979318 0.2023244 0.1253683 17.54811 2.739227 1 0.0
-0.01720204 -0.006151633 -1.02026 -2.002224 0.3578791 0.2880185 -0.06077623 18.06571 nan 0 0.0
0.001015792 -0.06533074 -9.383734 -3.534137 2.629323 1.504641 0.5642209 20.03295 nan 0 0.0
0.03033195 -0.04020223 -1.746191 -3.198376 0.4739152 0.3049296 0.1685158 18.26799 2.704113 1 0.7448061
-0.002158272 0.002666196 0.6631329 -0.4486333 0.9619415 0.6723103 0.01786346 18.53904 2.510361 0 0.0
-0.01524165 0.021616 -1.213926 -2.929973 0.5582662 0.4230364 -0.09710359 18.96771 nan 0 0.0
0.003767439 0.04244197 -0.8034786 -6.765284 1.582956 1.13421 0.5893712 19.85273 1.992178 0 0.0
0.004165234 -0.04622686 -1.405652 -3.520633 0.369135 0.2932517 -0.1532819 18.23197 2.26144 1 0.4850683
-0.01112802 -0.06329457 -1.247783 -1.86518 1.055545 0.7727485 0.2355518 19.48944 nan 0 0.0
0.05344766 -0.03484486 -0.705336 -2.581488 0.2040789 0.1402235 0.138179 17.09816 2.126637 1 0.0
0.008575416 0.00383682 -1.882064 -3.093353 0.3959437 0.3236227 -0.3154303 18.20942 2.624727 0 0.0
-0.03380258 -0.02104258 -2.575855 -4.033402 1.340613 1.001769 0.08940639 19.72132 2.16333 0 0.0
