# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
0.04455568 -0.004187639 -4.465947 -11.85655 1.010347 0.9729307 0.3852388 18.48702 1.36676 0 0.0
0.04640109 -0.02519992 -3.130374 -3.240693 0.7751077 0.8152631 0.5042219 19.13185 0.9254017 0 0.0
0.06269427 -0.01985773 0.05507939 -8.211563 1.062319 1.016669 0.3532784 18.97929 nan 0 0.0
0.07117057 0.007804008 -2.402813 -3.934691 0.4435708 0.4534868 0.4100894 18.20516 0.9715805 1 0.0
0.0004449254 -0.07624772 1.410151 2.122078 0.1830782 0.1795323 0.496982 16.79182 0.9250793 1 0.0
-0.03369254 -0.06131947 4.810372 -8.19768 0.3821355 0.3861975 0.5849485 17.81375 0.8101292 0 0.0
-0.04778238 -0.06730726 -1.782699 -0.766791 0.4403461 0.4323451 0.5310777 18.26039 0.7814217 1 0.0
-0.02546043 -0.01721126 -1.455657 -4.066855 0.8901072 0.6910658 0.08932031 18.32902 1.033394 0 0.0
0.0718534 -0.008977391 -6.866019 1.696572 0.2732586 0.2687834 0.3590573 17.41714 1.000843 1 0.0
0.01625449 0.0279874 -2.321017 -4.681312 0.2188044 0.2130907 0.446017 16.98634 0.9982624 1 0.0
0.01585009 -0.07210635 1.276102 -6.487881 1.147408 1.206133 0.6299393 19.69419 1.24828 1 0.0
0.04730664 -0.01862004 -5.635928 -2.828929 0.9604965 0.9761812 0.4658594 19.38609 0.9502964 1 0.01371125
0.04178763 -0.0248162 -2.901235 -4.531272 1.305559 1.376377 0.6034507 19.72583 0.8371964 0 0.0
-0.0009203348 -0.07778505 -1.824639 -1.446633 1.31348 1.368072 0.6742329 19.84859 1.349327 1 0.006545016
0.0170363 -0.06574366 -3.406504 -15.56575 2.480631 2.519619 0.6506821 20.38744 1.106817 0 0.0
0.0110672 -0.00125147 -4.611515 -6.752 0.15456 0.1481042 0.4118977 15.48712 1.20799 0 0.0
0.04481221 -0.006762687 0.8693637 -8.472936 0.7289246 0.7419324 0.5187082 18.92784 0.9146004 0 0.0
0.008358096 -0.02356716 -8.42405 2.899492 0.4591603 0.4505146 0.3940504 18.23617 1.106123 0 0.0
0.04254328 -0.007417719 5.383898 5.524193 1.531996 1.453479 0.2775688 19.47368 nan 0 0.0
0.0568194 -0.0575545 -4.729826 -2.561751 1.354446 1.356517 0.3465938 19.61607 0.8094521 0 0.0
0.02454548 -0.02095704 -3.663831 -3.962252 0.5226208 0.5061982 0.3678489 18.36406 1.363527 1 0.0238559
0.02252508 -0.06062172 1.258257 -9.490316 3.202509 2.951204 0.0566893 20.46707 nan 0 0.0
0.03401225 -0.07055496 -4.925507 -2.709667 0.6345541 0.6153997 0.3667205 18.49122 1.203213 0 0.0
0.01598926 -0.01350883 -5.082963 -5.590335 0.1970652 0.1880186 0.3883095 16.65332 1.267511 1 0.9926107
-0.05830073 -0.05606389 -2.609424 -3.843275 0.4455612 0.433773 0.5530773 18.2071 0.9875755 1 1.570732e-06
-0.02718367 -0.02986511 -0.05189849 -5.576453 0.1396989 0.1350182 0.4918248 16.18277 1.374685 1 0.0
0.04959246 -0.03370076 -2.304716 -7.057457 0.1215751 0.1192743 0.35813 15.8578 1.266024 1 0.0
-0.008236285 -0.07496254 -4.615505 -4.573086 1.466795 1.54003 0.6169867 19.91642 -1.012041 0 0.0
-0.02745862 -0.05799858 -0.9350655 -6.728128 1.148808 1.196986 0.5980942 19.44898 nan 0 0.0
-0.01944716 -0.05104231 -5.753284 -8.103148 1.529515 1.520406 0.3585967 19.8182 0.6019173 0 0.0
-0.007205632 -0.07799132 1.410536 -2.586559 1.461544 1.556326 0.6500482 19.89655 1.076534 0 0.0
0.008821605 -0.02807999 -6.127274 -4.610358 1.16377 1.186849 0.4365678 19.55995 nan 0 0.0
0.02202272 -0.007566798 4.539246 0.2870874 0.4758053 0.461055 0.4228973 18.10475 1.082613 0 0.0
-0.0002765673 -0.006042054 -5.059738 -5.977205 0.1412337 0.1330275 0.333361 15.5708 1.109822 0 0.0
-4.454982e-05 -0.001853516 -4.200422 -6.593031 0.2856651 0.270888 0.4202142 14.66977 1.187258 0 0.0
-0.03706275 -0.07325315 -1.314683 -3.224368 1.323982 1.398025 0.6436514 19.8511 0.5990067 0 0.0
-0.004967074 -0.03232927 3.164178 2.216292 0.6350501 0.6370815 0.2721627 18.47431 1.259754 0 0.0
0.04888844 -0.001157192 -2.892713 -3.999931 0.8332961 0.8047816 0.41631 17.65168 1.105949 0 0.0
0.04404288 0.00158425 -4.027199 -4.171477 1.287067 1.317569 0.3651155 19.71391 0.8447628 0 0.0
-0.006876949 0.003345655 -4.712176 -5.951584 0.4521868 0.438875 0.5375884 17.53659 nan 0 0.0
0.02383887 -0.06136211 -5.89777 4.198934 0.3059859 0.2997417 0.320654 17.61975 1.160282 1 0.0
-0.004373342 -0.05226865 -0.6124345 -4.09135 1.379503 1.417317 0.6444747 19.17912 0.7880745 0 0.0
0.01915725 -0.02617042 -5.082018 -6.54646 0.9212629 0.9280182 0.4012225 19.07141 0.6971035 0 0.0
0.0341665 -0.07140189 -2.485055 -1.737674 0.2345226 0.2298966 0.507321 17.29899 1.011906 1 0.0
0.03665505 -0.03329023 -2.102624 -7.217261 0.752278 0.7338627 0.4357017 18.26001 1.136889 0 0.0
0.02250885 -0.02236413 -0.5351184 -6.893004 0.5652134 0.578081 0.5225287 18.53182 nan 0 0.0
0.01407584 -0.05115575 3.652282 -1.824771 0.2008688 0.1951714 0.4789831 16.94862 0.962347 1 0.0
0.03508586 -0.02578229 -5.948512 -5.7238 1.389189 1.452612 0.5641942 19.80423 0.888998 0 0.0
0.01437156 0.02619481 -5.179555 -5.923898 0.1219633 0.1163901 0.4045373 15.68991 1.232708 1 0.9960765
0.03645953 -0.006865746 -0.8884893 -5.855816 2.568971 2.621294 0.3592049 20.36874 2.111197 0 0.0
-0.02982443 -0.0718543 -3.930213 -6.274262 1.174593 1.218208 0.5783368 19.79479 0.5942783 0 0.0
0.02113283 -0.06476414 -2.539708 -6.290525 0.345906 0.3326124 0.4859806 17.27825 1.009661 0 0.0
0.02878449 -0.06480822 1.71941 -5.0668 1.032838 1.080833 0.597485 19.55956 1.494286 0 0.0
0.01976517 -0.07484607 -2.267661 -5.624034 0.5651444 0.5725828 0.5869941 18.68838 1.040417 1 0.0
-0.02912056 -0.01775405 1.213178 -3.177314 1.042345 1.021671 0.3423768 19.21446 1.128448 0 0.0
0.07532146 -0.02352184 -4.830537 -3.205961 0.452178 0.4553897 0.4901388 18.2953 1.082685 0 0.0
-0.001873557 -0.07194476 -0.2286416 -5.160389 1.357987 1.427923 0.6263765 19.9579 0.8514538 0 0.0
0.01773034 -0.07364784 -1.311312 -4.652814 1.754756 1.731185 0.4807134 20.13458 0.6943684 0 0.0
0.07680103 -0.01128553 -3.330302 -2.758551 0.4741124 0.4870475 0.4555652 18.3956 1.089804 1 0.0
-0.02746048 -0.05189888 -2.201125 -3.757051 0.3598104 0.3610681 0.4786209 17.72913 1.073336 0 0.0
0.0589301 0.01837571 -15.8222 -2.820925 0.9086155 0.9602527 0.5491759 19.36769 1.255161 0 0.0
0.03214973 -0.01975779 -5.623798 -5.692736 0.6966052 0.7004091 0.5110818 18.79741 nan 0 0.0
-0.01339542 -0.02727565 -5.221472 -5.952679 0.118107 0.1100674 0.4476722 15.66892 1.187407 1 0.9953468
0.007505548 -0.04733646 0.3878308 -3.461967 0.4538471 0.4478101 0.4308672 18.27117 nan 0 0.0
-0.01988575 -0.04854759 7.077069 -14.77855 1.381833 1.400965 0.5367445 18.97176 0.980957 0 0.0
0.02741742 0.01482782 1.680798 -3.567259 0.4922586 0.473283 0.3807784 18.28286 1.009813 0 0.0
0.061185 -0.04091382 -1.043356 -2.208047 0.7053868 0.7064867 0.4706631 18.90502 nan 0 0.0
-0.03550623 -0.03538023 -1.08772 -2.424732 0.1882692 0.1800607 0.4827692 16.73659 1.329303 0 0.0
0.026232 -0.07143738 5.062355 -8.956819 0.3996993 0.3978698 0.4409096 18.14264 1.556753 1 0.0
0.07731022 0.01141912 -1.110938 -9.622273 2.08622 2.190187 0.4189603 20.13381 0.9089909 0 0.0
0.02394224 -0.06017958 -2.339406 -5.969767 0.8394699 0.8712913 0.3476803 19.15047 1.128923 0 0.0
-0.009885942 -0.06585322 7.599187 -0.3621578 0.1778986 0.1737204 0.5680035 16.60771 1.066877 1 0.0
0.04780715 -0.04700546 6.6654 0.1293583 1.076274 1.101613 0.4316882 19.51194 1.530401 0 0.0
0.02579208 -0.07836855 6.570685 -6.277028 0.250895 0.244546 0.5073906 17.22499 1.121952 1 0.0
-0.01405998 -0.06296986 -0.7550457 -3.167867 1.525603 1.641608 0.7051534 19.96772 0.8679638 1 0.01410941
-0.02524523 -0.04936527 -0.9582059 -1.278967 0.3242733 0.3063578 0.4393043 17.536 0.9878349 1 0.0
0.005394167 -0.02037785 3.696123 -4.7183 1.451499 1.464507 0.3068974 19.22839 0.8945618 0 0.0
0.08214262 -0.005282077 -2.927598 -5.301566 1.131077 1.224445 0.638172 19.54398 nan 0 0.0
0.004905805 0.005066212 -4.392448 -4.774687 0.1370546 0.1264539 0.2533271 15.65055 1.129366 0 0.0
-0.0200176 -0.03498256 -4.323996 -5.717593 1.085654 1.043617 0.2365833 19.25446 0.9210987 1 0.702188
0.02680295 -0.05729266 -6.70114 -0.7965336 1.786091 1.747311 0.5720056 20.03371 1.142643 1 0.002105936
-0.001616356 -0.04904133 -5.038 -7.81785 1.645288 1.744687 0.7400306 19.88929 1.241405 0 0.0
-0.01269721 -0.043694 -4.968943 -4.691484 1.179218 1.244249 0.642283 19.63768 0.7464218 0 0.0
0.0108021 -0.06219503 4.146003 1.113568 3.262642 3.096195 0.07701336 20.38223 0.3775768 0 0.0
0.04556506 0.003643433 -5.098628 -6.235864 1.973477 1.964294 0.4160378 20.06921 1.391336 0 0.0
-0.006021305 -0.06890463 -1.693163 -3.22907 0.07897518 0.07440675 0.4334067 14.89271 1.600491 1 0.0
0.02603243 -0.04886196 0.3488373 -8.064857 0.6798133 0.6847291 0.435414 18.88782 nan 0 0.0
0.05436439 -0.02688282 2.330709 -3.700451 0.1451959 0.1395998 0.3449735 16.08484 1.321352 1 0.0
0.02532905 -0.07611012 2.307749 -6.858417 2.244851 2.280444 0.6191222 20.32563 1.243887 0 0.0
-0.004475974 -0.06103483 2.161217 -2.267565 0.6107801 0.6236915 0.6093528 18.84105 1.062674 1 0.0
0.06616105 -0.002369805 -3.18902 -4.539457 2.548571 2.600875 0.5144141 20.23474 1.213566 0 0.0
0.01136824 -0.06748227 -5.36264 1.142313 0.7628373 0.7866721 0.5772217 19.13757 nan 0 0.0
0.01897526 -0.03364719 -7.645739 -4.856203 0.9300788 0.9598464 0.3512798 19.20166 0.8285065 0 0.0
0.006968814 0.009735266 -6.043381 -6.591552 0.2542918 0.2332366 0.3065021 15.63396 1.142528 0 0.0
-0.001616098 -0.06344562 -3.297233 1.498122 0.2273862 0.2220674 0.5018204 17.16553 1.242573 1 0.0
0.03049097 -0.04671568 0.2309984 -2.732296 0.1540053 0.1463903 0.2600801 16.22646 1.021132 1 0.0
0.07386999 -0.03340453 5.858744 -1.366238 0.5891465 0.6013433 0.5267395 18.70002 0.7343807 0 0.0
0.02240594 -0.02156683 -3.012564 -6.5048 0.4160216 0.4403304 0.5117536 17.84806 1.138296 0 0.0
0.05552998 -0.01751464 1.426362 0.694282 2.224944 2.210861 0.4434163 20.25919 1.606886 0 0.0
0.04030961 0.01310638 -3.384593 -7.253119 1.388386 1.333841 0.3654236 19.69219 0.7516079 0 0.0
0.06185548 -0.04025052 -1.461219 -6.211845 0.7378686 0.7704489 0.4713425 19.07777 0.8585262 0 0.0
-0.02879657 -0.06376681 -3.419546 -0.03884835 1.407596 1.508966 0.6391316 19.81581 0.5676041 0 0.0
0.03962839 -0.07026352 -1.200967 -6.902288 0.7654016 0.7839601 0.5368461 19.10624 1.111713 1 0.0
0.07853049 0.02107688 -1.761265 -5.277205 0.3099619 0.3146713 0.3809447 17.69143 1.224586 1 0.0
0.0811756 0.008783591 -1.553124 -4.130616 0.8355377 0.8453608 0.2839828 18.99425 1.056782 0 0.0
0.005804748 -0.04888891 -5.314764 -6.075271 0.254717 0.2512356 0.5169139 17.40921 1.194845 1 0.9699051
-0.02048271 -0.02960776 -0.787549 -7.64258 0.6488747 0.653973 0.8175187 17.81351 1.016096 1 0.0
-0.0006887091 -0.05030398 2.175466 -3.686928 0.7423727 0.7633415 0.7101464 18.86622 0.9091511 0 0.0
0.01608387 -0.06124977 1.374695 -1.602922 0.6175436 0.6209721 0.5845027 18.82066 1.312172 0 0.0
0.02537101 -0.01840905 -3.225125 -7.016164 1.547248 1.675642 0.6391628 19.78047 nan 0 0.0
0.04742012 -0.04797038 -8.399791 -5.176584 0.4389401 0.4323553 0.4049258 18.12458 1.016928 0 0.0
-0.03401346 -0.03013063 2.487003 6.502882 0.2603848 0.2569997 0.573809 17.38449 1.015776 1 0.0
0.04563504 -0.06198465 6.674929 -2.817111 2.796793 2.364286 -0.02141243 20.17711 1.897785 0 0.0
0.02154937 -0.04662155 0.792409 -10.40885 2.402856 2.250236 -0.0004115814 19.91562 0.8365593 0 0.0
-0.009137832 -0.07558824 -3.203706 -3.666983 1.750075 1.891447 0.7672997 19.99798 nan 0 0.0
0.02165249 -0.04643084 -2.97451 -1.219393 1.659972 1.660865 0.4170535 19.82757 1.199951 0 0.0
0.01825179 -0.04280613 -1.784024 -11.23226 1.231959 1.275202 0.3707511 19.67007 1.028053 0 0.0
