# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.01357115 -0.04468434 -1.136181 -3.04094 0.9312943 0.922194 0.7150621 19.24045 0.925539 0 0.0
-0.02334082 -0.02345878 4.124974 -4.499309 1.069146 0.9621787 0.6394099 19.2587 1.248592 0 0.0
-0.02151273 -0.01347923 -3.478113 -6.018961 1.629768 1.640404 0.7868145 19.6984 nan 0 0.0
-0.04079743 -0.00841579 -3.929889 -5.454447 0.3050746 0.2858844 0.6543287 17.59152 1.193764 1 0.6820962
-0.04676554 -0.008564564 -3.051885 -4.130821 0.3734091 0.3581797 0.6779464 17.888 1.159845 1 0.29916
-0.01652729 -0.03640486 -4.459258 -6.69525 1.380179 1.354075 0.6947495 19.66506 0.5210342 0 0.0
-0.01655473 -0.04222991 -6.088184 -6.604218 1.154441 1.091154 0.6834103 19.44156 0.8324718 0 0.0
-0.03685166 -0.02525084 -4.464765 -7.191234 0.8706431 0.8260435 0.9144045 18.07658 0.928091 0 0.0
-0.042237 0.004021594 -3.567786 -6.307145 0.9721229 0.9591375 0.7814037 19.14682 0.6745377 0 0.0
0.001289026 -0.04256842 2.311613 -7.764041 0.5535525 0.5578798 0.6618101 18.60714 0.9825821 0 0.0
-0.03099614 -0.02829924 -0.8431624 -2.312488 0.2457763 0.25014 0.7263462 17.10439 1.075972 1 0.0
-0.001018872 -0.0378134 -4.125163 -4.351137 0.6567865 0.6205254 0.5905204 18.96762 1.142282 0 0.0
-0.0391686 0.00545111 2.065136 -6.406897 1.365124 1.366553 0.7789159 19.62836 0.9619713 0 0.0
-0.02745486 -0.001782522 -3.307159 -5.053071 0.1241406 0.1188456 0.5662893 15.89392 0.3925323 1 0.9931952
-0.004959761 -0.0240596 -3.537582 -3.559707 0.6523466 0.6428744 0.6666508 18.67799 1.166428 0 0.0
-0.02165121 -0.02783586 -3.08411 -4.918134 0.2502325 0.2740012 0.8604638 16.07386 1.312029 1 0.9886955
-0.01717624 -0.02374969 -3.226661 -4.346303 0.581277 0.5707814 0.7282783 18.54518 0.9353771 1 0.8533524
-0.003214295 -0.03517557 -4.793691 -6.370747 0.4563232 0.4514885 0.6814638 18.28437 0.7256985 1 0.09468029
-0.02452032 -0.03872921 0.2917249 -3.921607 1.699141 1.626638 0.7064358 19.79193 0.3962612 0 0.0
-0.0212581 -0.02168079 -1.661203 -9.386939 2.344401 2.219524 0.4452721 20.05099 0.2821693 0 0.0
-0.002454253 -0.040457 1.948845 0.9068774 1.664929 1.497209 0.4087774 19.92214 0.7577324 0 0.0
