# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.01996371 -0.02941506 -3.266622 -5.948322 0.2547192 0.2122643 0.5749369 17.01935 3.450049 1 0.0
-0.03170903 -0.01634851 -4.992655 -1.241654 0.6063383 0.4692771 0.03757444 18.87663 nan 0 0.0
0.00756949 -0.04577482 -3.227747 -1.315372 0.4379354 0.3378169 0.4397503 18.32508 2.844963 0 0.0
-0.0140808 -0.01580717 -8.307063 -5.396343 0.3299614 0.2606515 0.248326 18.33375 2.84465 0 0.0
-0.03694542 0.009225579 -0.5751389 -1.607237 0.33028 0.2593224 0.2509526 18.27779 2.221062 0 0.0
-0.04268538 -0.01709589 -1.395136 -6.182257 1.641318 1.505531 0.8611854 19.21244 2.610825 0 0.0
-0.03160204 -0.007147436 -3.437416 -12.01296 2.163195 1.842396 0.6036793 20.12967 2.698242 0 0.0
-0.02270512 -0.006893589 -2.528702 -7.62758 0.4036349 0.3188444 0.2445716 18.42801 2.871454 0 0.0
-0.02883157 -0.02957714 2.343958 -5.870418 2.244479 1.629705 0.495224 20.15349 nan 0 0.0
-0.0328539 -0.03333186 -4.520059 -8.624241 0.3868148 0.3055269 0.2503379 18.41869 3.129417 0 0.0
-0.0146524 -0.0414916 -3.097369 -5.181444 0.5661744 0.4278903 0.442437 18.61243 2.907146 0 0.0
0.01416475 -0.04568007 -5.157152 -2.089573 0.6927279 0.5378925 0.4619642 18.85965 2.675463 0 0.0
-0.02938314 -0.01309969 -3.710813 -5.73504 0.3048031 0.240637 0.2100695 17.77452 3.399796 0 0.0
-0.02264729 -0.0226807 -6.486814 -3.582916 0.457448 0.3706655 0.3420527 18.32608 2.86974 0 0.0
-0.02946511 -0.01367573 -9.171081 -9.209337 1.656267 1.474509 0.877967 19.34614 nan 0 0.0
-0.01544528 -0.04731293 -3.288316 -5.833086 0.7130018 0.4938614 0.3777795 18.36826 2.997814 0 0.0
0.01345313 -0.0465917 -9.625918 -5.704678 0.3870466 0.2996519 0.4416103 18.16841 2.704458 0 0.0
-0.03102503 -0.01512 -3.615873 -2.242648 0.4419678 0.3519669 0.3185617 18.62795 2.898136 0 0.0
-0.02599232 0.002760722 -6.925168 -10.64174 0.6870523 0.5513349 0.4449383 19.06567 2.7295 0 0.0
-0.02611914 -0.04202194 -6.104321 -7.801553 0.4400498 0.3368917 0.4412224 18.2549 2.89584 0 0.0
-0.02721395 -0.04149386 -1.800616 -1.13939 0.6728172 0.5299576 0.5033779 18.53989 nan 0 0.0
-0.02521863 -0.03003597 -4.226676 -4.773346 0.3850871 0.32791 0.5645754 18.0554 3.05238 0 0.0
-0.02415193 -0.02655674 -5.176642 -10.5752 0.2656164 0.2264309 0.5734242 17.27927 3.151908 0 0.0
-0.02418411 -0.003422512 -2.255976 -2.306298 0.2255047 0.1780516 0.2192238 17.65685 3.13019 1 0.0
-0.02382021 -0.0425021 2.022111 -7.975759 1.799152 1.371649 0.622958 19.94378 2.807541 0 0.0
-0.04315788 0.002187231 -6.054244 -2.139569 0.1990257 0.1611695 0.3090742 16.29653 3.621486 1 0.0
-0.03800572 -0.01367439 -4.586518 -8.263875 0.5961642 0.4703004 0.2159768 18.58732 3.135201 0 0.0
-0.02729747 -0.03543042 -6.593629 -6.864207 0.4159691 0.3572048 0.5526507 18.01351 3.026373 0 0.0
-0.04438156 -0.01956845 -2.424185 -2.701582 0.4557184 0.3597913 0.1615991 18.6012 2.540625 0 0.0
-0.02675216 -0.02649436 -4.7214 -5.289232 0.5193723 0.4105204 0.2216455 18.25962 2.999872 0 0.0
-0.02563362 -0.009896364 1.646908 1.77091 2.176374 1.903297 0.8761406 19.92686 2.18334 0 0.0
-0.03288143 -0.03277111 -1.567973 -1.91392 0.5123389 0.4045629 0.3059333 18.78569 nan 0 0.0
-0.03307973 -0.00915247 2.793276 0.6339546 1.965851 1.735183 0.8795572 19.48632 nan 0 0.0
-0.0455937 0.0002293615 -0.8270078 -6.760631 0.2773532 0.2200439 0.212724 17.62974 3.715538 1 0.0
-0.0230849 -0.02440312 1.131477 -2.427018 0.32442 0.2613594 0.2923145 17.93148 2.845385 0 0.0
0.03012307 -0.0309889 -8.654679 -5.936419 2.212694 1.834622 0.722351 20.00086 nan 0 0.0
-0.02757435 -0.02197605 2.837404 -2.5282 0.5024606 0.3835315 0.5930384 17.973 2.896242 0 0.0
-0.02336299 -0.002605999 0.3172326 -10.31646 0.4037652 0.3321677 0.3846659 18.19687 3.238546 0 0.0
-0.02166089 -0.0281527 -1.04418 -4.6386 0.5639243 0.4350354 0.09314315 18.51974 2.691408 0 0.0
-0.04267159 0.01995436 -5.215943 -3.151895 2.258224 1.750505 0.7679223 19.76061 nan 0 0.0
-0.03927007 0.001593515 -4.672609 -7.343291 1.862249 1.545647 0.7470754 20.13959 2.582354 0 0.0
-0.02165926 -0.0369017 -4.456649 -7.967217 0.3444878 0.2760657 0.4783864 17.12273 nan 0 0.0
-0.02560275 -0.02576359 -4.608153 -12.23376 1.546637 1.372618 0.8747072 19.34965 3.670561 0 0.0
0.01164681 -0.04818223 -0.8296176 -2.99798 0.9378579 0.7090829 0.6455807 19.00698 2.726225 0 0.0
0.03097176 -0.03010411 1.28016 -0.6957798 0.7012319 0.5824272 0.7067479 18.67402 2.917704 0 0.0
0.02262164 -0.04194873 -2.765776 -4.451304 0.5848938 0.4758213 0.4882583 18.60109 2.812473 0 0.0
-0.01213753 -0.01358108 0.09763763 -1.823519 1.986839 1.854357 0.8471559 19.50354 2.442736 0 0.0
-0.01947527 -0.004220808 -2.274581 -4.621325 0.4182375 0.3592822 0.5020791 17.11827 4.346748 0 0.0
-0.02637458 -0.001775039 -4.484413 -6.121792 0.5775764 0.4521417 0.2632988 18.75554 2.753855 0 0.0
-0.007674781 -0.02610435 -5.495056 -6.851318 0.2474578 0.1952317 0.4750621 17.172 3.045522 0 0.0
-0.03102732 -0.006540744 -0.4167799 -4.696711 0.3157644 0.2496228 0.2297513 18.22985 3.339899 1 0.0
-0.004691397 -0.02518485 -6.586795 -2.677994 0.2180056 0.1717115 0.3991058 16.33581 3.709044 1 0.0
-0.04613886 -0.005777095 -2.796377 -9.490434 0.3187359 0.2680627 0.5634806 16.9662 3.898359 1 0.0
-0.03171575 0.008286799 0.6839999 2.159732 0.3629743 0.2840109 0.3324543 18.31235 2.713419 0 0.0
-0.03803094 -0.02027383 -7.123799 -4.553141 0.3161544 0.246524 0.2741973 17.62645 nan 0 0.0
-0.006661671 -0.03288872 -3.66476 -3.890247 0.2737199 0.2099022 0.3579131 17.32974 3.13785 1 0.0
-0.02352288 -0.02418577 -9.799205 -14.41612 1.120702 0.8269932 0.8615215 18.71694 nan 0 0.0
-0.0337423 0.01006006 -4.509033 -6.321448 0.3174366 0.2493808 0.2919577 18.19916 3.602894 1 0.0
-0.00693573 -0.02674899 -3.826463 -4.755764 0.3315013 0.2547415 0.395674 17.81758 3.313128 0 0.0
-0.03312937 -0.02709491 -4.066684 0.2430343 0.5471313 0.4122987 0.4046841 18.47682 2.898092 0 0.0
-0.02678505 -0.002538072 -4.496818 -5.221209 0.8158098 0.6387908 0.3248808 19.09187 2.700552 0 0.0
-0.03647832 0.003953814 9.564375 5.85053 2.312837 2.009213 0.8512845 19.79049 2.435907 0 0.0
-0.03592371 -0.01887698 -2.016833 -5.796034 2.234843 2.074585 0.8725589 19.77964 nan 0 0.0
0.01914543 -0.04550912 -5.440337 -4.111299 0.5322892 0.4126479 0.4815784 18.58947 2.752184 0 0.0
0.03688566 -0.02380014 -3.201374 -5.47332 0.3317951 0.2630165 0.3131967 16.25586 5.188751 1 0.0
-0.04058349 -0.0003963004 -1.16977 -9.046266 0.2624414 0.2033022 0.2556652 16.19392 4.816599 1 0.0
-0.03519214 0.005874911 -3.66033 -1.864769 1.652056 1.446757 0.8861195 19.43771 2.835363 0 0.0
-0.03080634 -0.01399842 -11.97246 -4.077407 0.5160492 0.406329 0.2447729 18.57982 2.870157 0 0.0
-0.03726403 -0.02178611 -8.165211 -8.065325 0.5004666 0.4307149 0.511909 16.78212 3.009562 0 0.0
-0.02844853 -0.02900293 -3.532535 -9.671385 0.6386829 0.5122024 0.1414203 18.4895 2.369223 0 0.0
-0.01555666 -0.03298303 -2.198981 -5.18579 0.2925737 0.2253562 0.4125023 17.61867 2.981064 1 0.0
-0.01399667 -0.03251363 -4.40358 -6.086305 0.2879424 0.2209899 0.4035841 17.62291 3.468102 1 0.0
-0.01383433 -0.01672458 -2.737379 -5.172106 0.5163529 0.398873 0.1947572 18.74292 2.873577 0 0.0
-0.03532131 -0.01954246 -9.32146 -5.423893 0.3221139 0.2647946 0.4125031 18.12738 2.598076 0 0.0
-0.01101245 -0.04264133 -3.549063 -7.560143 0.4361702 0.3353681 0.4384986 18.31738 2.871124 0 0.0
-0.02054002 -0.02074054 -3.509232 -8.401234 1.404509 1.131984 0.4283616 18.71814 2.328188 0 0.0
-0.01084924 -0.03212419 -0.4338018 -11.87268 0.4106659 0.3158302 0.4808788 18.27772 2.856672 0 0.0
0.02286894 -0.03689621 -9.916985 -3.513085 0.5849397 0.4926687 0.3335038 18.73737 2.547056 0 0.0
-0.01153451 -0.02168725 -2.418601 -11.22516 0.2774779 0.2299644 0.6195325 17.04138 2.880897 0 0.0
0.02234877 -0.03782118 -4.133806 0.6013903 0.4875122 0.3620066 0.151272 18.48123 2.759403 0 0.0
0.03255986 -0.02781764 -3.465027 -8.722745 0.1793496 0.1387661 0.3391642 16.04958 3.366493 1 0.0
-0.009151303 -0.04517984 -2.944502 -10.35031 0.8501193 0.6597839 0.3441533 17.94716 3.061546 0 0.0
-0.03263977 -0.01614469 1.156883 -2.229467 0.5958439 0.4754088 0.3857905 19.0025 nan 0 0.0
