# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
0.03009984 -0.03498364 -3.452108 1.135078 0.3243461 0.3705867 0.2242227 19.00845 1.154137 0 0.0
0.03516487 -0.03382998 -4.921098 3.939593 0.7527518 1.179845 0.1948459 20.17913 1.360668 1 0.0
0.03184759 -0.03766227 0.6059151 2.148682 0.7894922 1.327081 0.1275849 20.22968 1.234278 1 0.4033027
0.027147 -0.03939231 -4.030147 4.415205 0.546188 0.6931979 0.07983905 19.49284 1.250265 0 0.0
0.007303638 -0.03412349 -1.848199 1.110514 0.7291248 0.9744887 0.1229884 19.97789 0.8028469 1 0.00115166
-0.005479103 0.04840382 -8.098433 3.170728 0.8149697 1.087436 0.180979 20.09072 2.096352 0 0.0
-0.007248097 -0.0155688 0.8418511 0.02145716 0.3267892 0.4049479 0.231952 18.92308 1.174938 1 0.9844194
-0.0366271 -0.005937605 0.453521 0.6241986 1.034251 1.697486 0.2461954 20.5088 0.9807568 1 0.6301971
0.02387565 -0.01531283 -10.26729 12.0822 0.2853008 0.32486 0.2343852 18.79305 1.715433 1 0.0
-0.01659861 -0.03186666 -2.462255 1.640424 2.164683 4.60815 -0.2450412 20.96843 1.723452 1 0.1082288
-0.04105145 -0.002548617 -4.841521 -0.2463701 1.029626 1.796747 0.1996339 20.39905 1.560177 0 0.0
-0.004901551 -0.04546439 2.297353 2.962851 0.7325088 1.1132 0.07489043 20.10307 1.082762 0 0.0
0.02734369 0.0006657591 -4.159598 2.885831 0.5225427 0.6394225 0.09711228 19.61222 1.069981 1 0.0
0.01721613 -0.02534367 1.058837 0.5287781 0.2845197 0.3441624 0.2020238 18.79706 1.478144 1 0.9769689
0.03900253 -0.01080254 -1.009094 3.19656 0.4120673 0.3564804 0.39321 18.61162 1.177641 1 0.0
0.02312291 0.02578695 -3.406285 1.715433 0.8127251 1.059748 0.1061972 20.06965 1.016491 0 0.0
0.04412768 0.007028353 -4.272274 3.482915 0.237178 0.2545487 0.2738212 18.36471 1.016865 1 0.0
-0.03795756 -0.01788971 -5.007175 3.080275 0.5776213 0.7640201 0.1247554 19.72797 1.081013 0 0.0
