# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.01063766 -0.0412635 2.004883 -0.4164846 1.388042 1.164744 0.6661492 19.45898 2.719967 0 0.0
-0.009185751 -0.009711986 -2.881161 -4.577845 2.016015 1.676273 0.4448368 19.9464 nan 0 0.0
-0.01828394 -0.003476297 -3.415875 -3.211182 1.547679 1.354646 0.650911 19.68094 3.683334 0 0.0
-0.0341405 -0.001315918 -2.004952 -4.834272 1.345461 1.170528 0.6262817 19.43506 3.383253 0 0.0
-0.01905739 -0.03447087 1.224478 2.264233 2.590246 1.873968 0.4431474 19.89675 nan 0 0.0
-0.01264235 -0.01154535 -6.53035 -6.693622 2.574706 1.967123 0.5517567 20.12703 2.046864 0 0.0
-0.02332469 -0.01109919 -9.721044 -3.490529 1.833366 1.518811 0.4117279 20.01131 nan 0 0.0
0.006667304 -0.03281739 -8.024748 -4.018304 1.57619 1.519977 0.7128456 19.85569 1.863174 0 0.0
0.03701861 -0.03036403 -0.4942626 -1.672846 0.6277765 0.4555094 0.3227139 18.67447 2.566742 1 0.0
-0.003674574 -0.03542648 -0.4684368 -0.1828439 1.337148 1.260711 0.5227008 19.58283 2.626251 0 0.0
-0.01355188 -0.01259261 0.3250769 -6.090585 0.35734 0.2738521 0.1663855 17.75984 3.739138 1 0.0
-0.0433936 -0.002715949 -1.11845 -3.369467 1.60405 1.531001 0.628416 19.70382 2.295248 0 0.0
-0.01380741 -0.04202876 -0.6494471 -3.049001 0.4227808 0.3260894 -0.004175848 18.30737 2.797131 0 0.0
-0.02877794 -0.02676005 -3.137223 -2.288883 1.985784 1.933518 -0.1136017 20.39725 1.494272 0 0.0
-0.009783538 -0.009845561 -4.864803 -9.589158 2.000434 1.626373 0.06437597 20.25374 nan 0 0.0
-0.01557901 -0.01335206 -5.527661 -3.135999 0.2284847 0.180091 0.1554669 16.00217 4.060816 1 0.9625104
-0.04175676 -0.001057714 -0.9158061 -3.808556 1.831744 1.494083 0.313836 20.05074 nan 0 0.0
-0.03686827 -0.005280429 -1.317658 0.2649799 1.01883 0.8675293 0.6548593 19.20899 2.404909 0 0.0
