# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
-0.03725188 0.008480876 -1.920675 -7.339431 0.5557078 0.4465228 0.3837729 18.81127 3.069883 0 0.0
-0.02967836 -0.02811338 -3.175002 0.2824378 2.245225 1.926788 -0.02536586 20.11303 1.916214 0 0.0
-0.05521948 0.0347708 -1.469834 -1.202979 1.207182 0.9990715 0.5752711 19.75181 2.459473 0 0.0
-0.0421282 0.006732185 -0.05763501 -5.618999 1.111444 0.9377531 0.5585445 19.38693 2.642403 0 0.0
-0.03759895 -0.03493811 3.032306 -2.909868 1.686241 1.328389 0.4560537 20.1122 2.705935 0 0.0
-0.01815642 -0.01507634 -1.643254 -4.905498 0.585141 0.4701497 0.3565133 18.69005 nan 0 0.0
-0.0322359 0.006479563 -0.6383271 -8.576889 1.924722 1.499909 0.52801 20.40087 1.84868 0 0.0
-0.03857689 -0.007796843 -3.301354 -9.556858 0.56552 0.4526808 0.2916192 18.60569 3.69957 0 0.0
-0.04004283 -0.015503 -3.116565 -4.963676 0.5792597 0.4558925 0.3517701 18.9876 3.332424 0 0.0
-0.04500957 0.005619189 -3.297655 2.259224 0.2581715 0.2055642 0.3017435 17.83509 1.825289 0 0.0
-0.03996652 0.005643804 -6.820455 -5.659485 0.700727 0.5681868 0.304866 19.01709 2.999676 0 0.0
-0.03913704 0.01133369 -0.7017705 -1.501344 1.698306 1.40803 0.4500251 20.21911 nan 0 0.0
-0.04135053 0.001302225 -0.378231 -4.344982 0.2616968 0.2077256 0.3076214 17.20757 3.810878 1 0.05380117
-0.05210028 -0.00112034 -0.702796 -3.031743 0.8521046 0.7022548 0.5647639 19.06558 2.8955 0 0.0
-0.04071486 0.006232931 -1.162922 0.1465565 0.6535475 0.5314159 0.4649668 18.78029 3.016466 0 0.0
-0.04106043 -0.03802149 -3.05195 -5.605807 2.525026 2.065324 0.4804532 20.63486 nan 0 0.0
-0.04229759 0.01590838 -3.314361 -0.5580864 0.5418058 0.4258602 0.2668121 18.65783 3.417755 0 0.0
-0.04243563 0.0144187 -0.9026771 -0.1701649 1.45869 1.248705 0.4473975 19.82014 2.785856 0 0.0
