# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
0.01477263 0.003888179 -1.062341 -1.773703 1.234812 1.286329 0.4266739 20.08386 0.8480949 0 0.0
-0.004757115 -0.01714488 -3.212009 0.5636899 1.533372 1.744336 0.5660374 20.40489 0.9325848 1 0.8622953
0.04036417 -0.02605427 -2.863415 -7.756622 0.4121918 0.4183829 0.3424895 18.63965 0.8940754 1 0.0
-0.004482328 0.006651215 -5.050125 -3.252787 0.9315809 1.025459 0.5822471 19.81292 1.055162 0 0.0
-0.005008611 -0.008558013 -3.313823 -1.323975 0.3696347 0.3538149 0.3918377 18.0085 1.163225 0 0.0
-0.02472367 0.02947098 1.856022 1.394637 0.4967435 0.5117304 0.4810452 18.89643 1.216852 1 0.0
-0.01823286 -0.02491729 7.964534 4.589368 1.787081 1.946454 0.6339801 20.38021 nan 0 0.0
-0.01384222 -0.01867559 0.09467375 -0.9959331 1.499486 1.51249 0.4872773 20.05796 0.7052326 0 0.0
0.0005888971 0.01183551 -3.583991 -2.178345 0.7009683 0.7217784 0.4772103 19.54769 1.075399 0 0.0
0.001718371 -0.003453814 -4.372993 -1.586354 1.227437 1.091774 0.1686683 19.42436 0.6669846 0 0.0
0.02912264 -0.02315038 -5.966767 -4.130651 1.820107 1.997935 0.3754474 20.56435 0.5764408 0 0.0
0.02450336 -0.02871453 -0.5368358 -0.6612569 2.270123 2.324613 0.04123947 20.58237 nan 0 0.0
0.04476934 -0.0009901498 -3.462531 -2.619739 1.789125 1.906456 0.240804 20.44542 0.9698257 1 0.4287043
0.005659037 -0.008157511 -3.307197 -1.742684 0.7417681 0.7354735 0.3667549 19.57099 1.048145 0 0.0
-0.02017358 0.009490831 -4.978895 -5.275166 1.862783 1.985394 0.4715831 20.5415 0.4406929 0 0.0
-0.0005910417 0.002748899 -5.572322 -1.718798 1.317749 1.286548 0.3899896 19.40303 nan 0 0.0
-0.01243602 -0.0237184 -2.712426 -1.696493 0.1991683 0.1888131 0.254551 17.45485 1.171169 1 0.986538
-0.03916058 -0.0286782 1.278627 -6.540076 0.9647248 1.24063 0.8970999 18.71639 1.429304 1 0.0
