# %ECSV 0.9
# ---
# datatype:
# - {name: x, unit: deg, datatype: float64}
# - {name: y, unit: deg, datatype: float64}
# - {name: pmx, unit: mas / yr, datatype: float64}
# - {name: pmy, unit: mas / yr, datatype: float64}
# - {name: pmx_e, unit: mas / yr, datatype: float64}
# - {name: pmy_e, unit: mas / yr, datatype: float64}
# - {name: pm_corr, datatype: float64}
# - {name: g_mag, unit: mag, datatype: float64}
# - {name: bp_rp, unit: mag, datatype: float64}
# - {name: filter, datatype: int64}
# - {name: memberprob, datatype: float64}
# meta: !!omap
# - comments: [deg deg mas/yr mas/yr mas/yr mas/yr dimless mag   mag   zeroone float]
# - __serialized_columns__:
#     bp_rp:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: bp_rp}
#     g_mag:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: g_mag}
#     pm_corr:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: pm_corr}
#     pmx:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx}
#     pmx_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmx_e}
#     pmy:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy}
#     pmy_e:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: mas / yr}
#       value: !astropy.table.SerializedColumn {name: pmy_e}
#     x:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: x}
#     y:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: y}
# schema: astropy-2.0
x y pmx pmy pmx_e pmy_e pm_corr g_mag bp_rp filter memberprob
0.02824444 -0.03053598 3.936569 -3.750699 1.507638 1.284541 0.5105593 19.66041 1.239124 0 0.0
-0.002865278 0.02054068 -5.883888 -0.01540379 0.4454264 0.3770558 0.1207419 18.31817 2.6572 0 0.0
0.004939949 0.004625654 -5.99324 -0.341874 0.1441814 0.1111039 0.2114836 15.29573 3.227761 1 0.9995896
0.005272862 -0.01212471 -1.666447 -6.081903 0.342088 0.2520013 -0.05420142 18.0399 2.412382 0 0.0
0.0001902499 -0.03893802 -8.323223 -1.327856 2.106445 1.528893 0.7856879 19.75779 1.350767 0 0.0
-0.01954145 -0.01894022 -1.445615 -7.297766 1.196346 0.9805187 0.57392 19.68128 1.77895 0 0.0
0.007088337 0.008020555 -5.797661 0.4515476 0.6484746 0.5374747 0.7750222 17.80454 2.47057 0 0.0
-0.01081296 0.00810783 1.658414 -1.035195 0.34606 0.2667296 0.4356156 17.87593 2.019733 1 0.0
0.004317049 -0.03450928 2.104891 0.7225701 1.382854 1.059657 0.7992169 19.36508 1.436052 0 0.0
-0.002053967 0.03299951 -2.596306 -2.717999 1.961192 1.563797 0.4450499 20.15237 1.825083 0 0.0
0.01643591 -0.03057427 -4.352997 -1.679575 0.9628119 0.7410754 0.5602849 19.36154 1.248184 0 0.0
-0.01086527 0.03835074 -6.280953 -0.3163784 0.4615476 0.3895173 -0.1161909 18.56373 2.572124 0 0.0
0.01355034 -0.02553063 -4.534337 0.1192076 1.829681 1.334796 0.801638 19.69594 nan 0 0.0
-0.01941472 0.04195383 0.7859189 0.07030592 1.193018 0.9292301 0.5732946 19.50555 nan 0 0.0
0.03849425 -0.001091269 -0.8566233 -9.982551 2.093631 1.881722 0.7709023 19.78704 1.736563 0 0.0
-0.00570407 -0.00517436 -4.233398 -1.973408 0.5424988 0.4397979 0.117919 18.78484 2.471287 0 0.0
-0.0267415 -0.03371304 -0.3215631 -7.055118 0.3539574 0.2752302 0.50333 17.72303 2.778851 1 0.0
0.003628056 0.02060168 -5.069441 -0.2155377 0.4255581 0.3547096 -0.1406997 18.45912 2.549294 0 0.0
