# Name ra dec dist vlos vloserr sigma rmax pmra pmdec pmra_e pmdec_e pmcorr nstar rscale pmdisp pmscale pmscale_e
# units        	deg	deg	kpc	km/s	km/s	km/s	arcmin	mas/yr	mas/yr	mas/yr	mas/yr	dimless	dimless	arcmin	mas/yr
NGC_104_47Tuc 6.02363 -72.081 4.5 -17.2 0.2 12.2 40.0 5.237 -2.524 0.039 0.039 -0.002 23917.2 18.3 0.418 0.399 0.016
NGC_288 13.1885 -26.582 8.9 -44.8 0.1 3.3 12.0 4.267 -5.636 0.054 0.053 0.018 2555.2 6.05 0.082 0.227 0.017
NGC_362 15.8094 -70.848 8.6 223.3 0.3 8.8 12.0 6.73 -2.535 0.053 0.052 -0.004 1741.3 7.8 0.149 0.229 0.026
Whiting_1 30.7375 -3.2527 30.1 -130.4 1.8 0.3 3.0 -0.234 -1.782 0.115 0.094 -0.05 11.1 0.48 0.0 2.71 2.451
NGC_1261 48.0675 -55.216 16.3 71.4 0.2 5.8 10.0 1.632 -2.038 0.057 0.057 0.009 541.7 4.1 0.093 0.153 0.0
Pal_1 53.3335 79.581 11.1 -75.4 0.2 0.5 3.0 -0.171 0.07 0.074 0.081 0.003 51.0 0.68 0.0 0.507 0.252
AM_1 58.7595 -49.615 123.3 118.0 14.1 1.2 2.5 0.387 -0.406 0.129 0.167 -0.073 39.7 0.37 0.0 0.794 0.045
Eridanus 66.1854 -21.186 90.1 -23.8 1.1 0.7 4.0 0.493 -0.402 0.084 0.087 -0.133 15.0 0.78 0.0 0.182 0.138
Pal_2 71.5246 31.3815 27.2 -136.0 1.6 5.0 3.0 1.034 -1.557 0.075 0.068 0.009 76.5 1.52 0.02 0.375 0.121
NGC_1851 78.5281 -40.046 12.1 320.3 0.2 10.6 12.0 2.12 -0.589 0.054 0.054 -0.007 786.0 5.49 0.12 0.159 0.02
NGC_1904_M_79 81.0462 -24.524 12.9 205.8 0.2 6.5 10.0 2.467 -1.573 0.057 0.058 -0.001 583.2 4.45 0.102 0.149 0.023
NGC_2298 102.247 -36.005 10.8 146.2 0.7 3.2 6.0 3.316 -2.186 0.061 0.061 0.001 444.8 3.25 0.077 0.133 0.007
NGC_2419 114.535 38.8824 82.6 -20.7 0.3 11.1 6.0 -0.011 -0.557 0.064 0.061 0.01 131.5 3.23 0.0 0.277 0.167
Pyxis 136.99 -37.221 39.4 40.5 0.2 0.9 3.0 1.078 0.212 0.068 0.071 0.025 64.8 1.99 0.0 0.317 0.04
NGC_2808 138.012 -64.863 9.6 103.9 0.3 15.0 15.0 1.005 0.274 0.051 0.051 -0.006 1837.6 8.43 0.186 0.222 0.005
E_3 140.237 -77.281 8.1 4.9 0.4 0.6 4.0 -2.695 7.115 0.064 0.064 -0.009 191.8 1.86 0.0 0.317 0.023
Pal_3 151.382 0.07167 92.5 94.0 0.8 0.9 3.0 0.054 -0.086 0.147 0.168 -0.428 34.1 0.71 0.0 0.262 0.138
NGC_3201 154.403 -46.412 4.9 494.3 0.1 4.3 20.0 8.324 -1.991 0.044 0.044 0.001 7021.1 12.5 0.19 0.277 0.005
Pal_4 172.32 28.9735 108.7 72.4 0.2 1.0 4.0 -0.135 -0.518 0.106 0.176 -0.471 32.0 0.52 0.0 1.149 0.532
Crater 174.067 -10.877 145.0 148.3 0.9 0.6 3.0 -0.002 -0.15 0.288 0.184 -0.172 10.2 0.43 0.0 0.161 0.013
NGC_4147 182.526 18.5426 19.3 179.5 0.3 3.0 6.0 -1.705 -2.114 0.065 0.063 -0.014 248.5 2.16 0.036 0.244 0.083
NGC_4372 186.439 -72.659 5.8 75.6 0.3 4.7 15.0 -6.378 3.358 0.05 0.05 0.001 2189.9 7.79 0.175 0.217 0.014
Rup_106 189.667 -51.15 21.2 -38.4 0.3 1.8 3.0 -1.263 0.399 0.064 0.063 0.027 119.8 2.08 0.015 0.136 0.018
NGC_4590_M_68 189.866 -26.744 10.3 -93.0 0.2 3.8 12.0 -2.752 1.762 0.054 0.053 -0.027 1479.1 6.73 0.083 0.215 0.047
NGC_4833 194.891 -70.876 6.6 202.0 0.4 4.6 12.0 -8.361 -0.949 0.055 0.054 0.006 1861.3 7.08 0.177 0.2 0.037
NGC_5024_M_53 198.23 18.1681 17.9 -62.9 0.3 5.6 15.0 -0.148 -1.355 0.053 0.052 -0.025 1924.6 7.69 0.087 0.244 0.084
NGC_5053 199.112 17.7002 17.4 42.8 0.2 1.6 10.0 -0.366 -1.248 0.058 0.056 -0.021 657.8 4.04 0.0 0.259 0.05
NGC_5139_oCen 201.696 -47.479 5.2 234.3 0.2 17.6 40.0 -3.234 -6.719 0.039 0.039 -0.002 23635.0 25.21 0.475 0.513 0.011
NGC_5272_M_3 205.548 28.3772 10.2 -147.3 0.3 8.2 30.0 -0.142 -2.647 0.045 0.043 -0.006 3924.0 9.53 0.138 0.231 0.045
NGC_5286 206.611 -51.374 11.7 62.4 0.4 9.4 8.0 0.207 -0.111 0.059 0.059 -0.002 431.7 4.07 0.173 0.17 0.004
NGC_5466 211.363 28.5344 16.0 106.9 0.2 1.6 12.0 -5.412 -0.8 0.053 0.053 0.01 988.9 4.85 0.026 0.157 0.027
NGC_5634 217.405 -5.9764 25.2 -16.1 0.6 5.3 6.0 -1.724 -1.507 0.064 0.064 -0.002 188.1 2.33 0.049 0.181 0.026
NGC_5694 219.901 -26.538 35.0 -139.6 0.5 8.9 5.0 -0.486 -1.071 0.069 0.068 -0.06 100.4 2.09 0.0 0.293 0.069
IC_4499 225.076 -82.213 18.8 38.4 0.3 2.8 6.0 0.491 -0.485 0.059 0.059 0.006 387.2 3.37 0.036 0.162 0.026
NGC_5824 225.994 -33.068 32.1 -25.2 0.5 11.6 8.0 -1.17 -2.226 0.06 0.058 0.012 373.0 5.0 0.059 0.227 0.039
Pal_5 229.021 -0.1116 23.2 -58.6 0.2 0.7 8.0 -2.736 -2.646 0.064 0.064 -0.048 203.0 3.3 0.0 0.407 0.007
NGC_5897 229.352 -21.01 12.5 101.3 0.2 3.7 10.0 -5.427 -3.438 0.057 0.056 -0.014 1002.7 4.84 0.054 0.168 0.029
NGC_5904_M_5 229.638 2.08103 7.5 53.7 0.2 7.8 20.0 4.078 -9.854 0.047 0.047 -0.008 4502.0 10.0 0.189 0.303 0.011
NGC_5927 232.002 -50.673 7.7 -104.1 0.3 6.4 10.0 -5.049 -3.231 0.055 0.055 -0.003 1829.4 11.03 0.198 0.233 0.011
NGC_5946 233.868 -50.659 10.6 137.4 1.4 6.4 5.0 -5.331 -1.614 0.065 0.064 -0.008 217.2 2.91 0.122 0.119 0.003
BH_176 234.781 -50.052 18.9 -6.0 14.0 0.1 3.0 -4.002 -3.064 0.071 0.067 0.019 115.4 2.32 0.0 0.274 0.021
NGC_5986 236.512 -37.786 10.4 101.2 0.4 8.3 8.0 -4.186 -4.604 0.06 0.059 -0.011 812.1 5.59 0.142 0.194 0.008
FSR_1716 242.625 -53.747 9.5 -33.1 1.0 2.6 4.0 -4.527 -8.639 0.066 0.064 -0.028 67.5 2.34 0.0 0.265 0.049
Pal_14 242.752 14.9577 76.5 72.3 0.1 0.7 5.0 -0.504 -0.461 0.081 0.078 0.167 61.2 1.81 0.0 0.406 0.102
